# Char	Unicode	GB2312
一	4E00	D2BB
丁	4E01	B6A1
七	4E03	C6DF
万	4E07	CDF2
丈	4E08	D5C9
三	4E09	C8FD
上	4E0A	C9CF
下	4E0B	CFC2
丌	4E0C	D8A2
不	4E0D	B2BB
与	4E0E	D3EB
丐	4E10	D8A4
丑	4E11	B3F3
专	4E13	D7A8
且	4E14	C7D2
丕	4E15	D8A7
世	4E16	CAC0
丘	4E18	C7F0
丙	4E19	B1FB
业	4E1A	D2B5
丛	4E1B	B4D4
东	4E1C	B6AB
丝	4E1D	CBBF
丞	4E1E	D8A9
丢	4E22	B6AA
两	4E24	C1BD
严	4E25	D1CF
丧	4E27	C9A5
丨	4E28	D8AD
个	4E2A	B8F6
丫	4E2B	D1BE
丬	4E2C	E3DC
中	4E2D	D6D0
丰	4E30	B7E1
串	4E32	B4AE
临	4E34	C1D9
丶	4E36	D8BC
丸	4E38	CDE8
丹	4E39	B5A4
为	4E3A	CEAA
主	4E3B	D6F7
丽	4E3D	C0F6
举	4E3E	BED9
丿	4E3F	D8AF
乃	4E43	C4CB
久	4E45	BEC3
乇	4E47	D8B1
么	4E48	C3B4
义	4E49	D2E5
之	4E4B	D6AE
乌	4E4C	CEDA
乍	4E4D	D5A7
乎	4E4E	BAF5
乏	4E4F	B7A6
乐	4E50	C0D6
乒	4E52	C6B9
乓	4E53	C5D2
乔	4E54	C7C7
乖	4E56	B9D4
乘	4E58	B3CB
乙	4E59	D2D2
乜	4E5C	D8BF
九	4E5D	BEC5
乞	4E5E	C6F2
也	4E5F	D2B2
习	4E60	CFB0
乡	4E61	CFE7
书	4E66	CAE9
乩	4E69	D8C0
买	4E70	C2F2
乱	4E71	C2D2
乳	4E73	C8E9
乾	4E7E	C7AC
了	4E86	C1CB
予	4E88	D3E8
争	4E89	D5F9
事	4E8B	CAC2
二	4E8C	B6FE
亍	4E8D	D8A1
于	4E8E	D3DA
亏	4E8F	BFF7
云	4E91	D4C6
互	4E92	BBA5
亓	4E93	D8C1
五	4E94	CEE5
井	4E95	BEAE
亘	4E98	D8A8
亚	4E9A	D1C7
些	4E9B	D0A9
亟	4E9F	D8BD
亠	4EA0	D9EF
亡	4EA1	CDF6
亢	4EA2	BFBA
交	4EA4	BDBB
亥	4EA5	BAA5
亦	4EA6	D2E0
产	4EA7	B2FA
亨	4EA8	BAE0
亩	4EA9	C4B6
享	4EAB	CFED
京	4EAC	BEA9
亭	4EAD	CDA4
亮	4EAE	C1C1
亲	4EB2	C7D7
亳	4EB3	D9F1
亵	4EB5	D9F4
人	4EBA	C8CB
亻	4EBB	D8E9
亿	4EBF	D2DA
什	4EC0	CAB2
仁	4EC1	C8CA
仂	4EC2	D8EC
仃	4EC3	D8EA
仄	4EC4	D8C6
仅	4EC5	BDF6
仆	4EC6	C6CD
仇	4EC7	B3F0
仉	4EC9	D8EB
今	4ECA	BDF1
介	4ECB	BDE9
仍	4ECD	C8D4
从	4ECE	B4D3
仑	4ED1	C2D8
仓	4ED3	B2D6
仔	4ED4	D7D0
仕	4ED5	CACB
他	4ED6	CBFB
仗	4ED7	D5CC
付	4ED8	B8B6
仙	4ED9	CFC9
仝	4EDD	D9DA
仞	4EDE	D8F0
仟	4EDF	C7AA
仡	4EE1	D8EE
代	4EE3	B4FA
令	4EE4	C1EE
以	4EE5	D2D4
仨	4EE8	D8ED
仪	4EEA	D2C7
仫	4EEB	D8EF
们	4EEC	C3C7
仰	4EF0	D1F6
仲	4EF2	D6D9
仳	4EF3	D8F2
仵	4EF5	D8F5
件	4EF6	BCFE
价	4EF7	BCDB
任	4EFB	C8CE
份	4EFD	B7DD
仿	4EFF	B7C2
企	4F01	C6F3
伉	4F09	D8F8
伊	4F0A	D2C1
