# Char	Unicode
丑	4E11
丞	4E1E
乃	4E43
之	4E4B
乎	4E4E
乘	4E58
也	4E5F
云	4E91
亘	4E98
亙	4E99
些	4E9B
亞	4E9E
亥	4EA5
亦	4EA6
亨	4EA8
亮	4EAE
仔	4ED4
伊	4F0A
伍	4F0D
伶	4F36
伽	4F3D
佃	4F43
佑	4F51
佛	4F5B
侃	4F83
來	4F86
侑	4F91
俄	4FC4
俐	4FD0
俠	4FE0
俣	4FE3
俱	4FF1
倖	5016
倦	5026
倭	502D
偲	5072
傭	50AD
傳	50B3
僞	50DE
價	50F9
儉	5109
儲	5132
允	5141
兎	514E
兒	5152
兜	515C
其	5176
冨	51A8
冴	51B4
凉	51C9
凌	51CC
凛	51DB
凜	51DC
凧	51E7
凪	51EA
凰	51F0
凱	51F1
函	51FD
剩	5269
劉	5289
劍	528D
劫	52AB
勁	52C1
勳	52F3
勺	52FA
勿	52FF
匁	5301
匡	5321
卜	535C
卯	536F
卷	5377
卽	537D
卿	537F
厨	53A8
厩	53A9
叉	53C9
叡	53E1
叢	53E2
只	53EA
叶	53F6
吞	541E
吻	543B
吾	543E
哉	54C9
哨	54E8
哩	54E9
啄	5544
喋	558B
喧	55A7
喬	55AC
單	55AE
喰	55B0
嘉	5609
嘗	5617
嘩	5629
噂	5642
噌	564C
嚴	56B4
圃	5703
圈	5708
國	570B
圓	5713
團	5718
圭	572D
坐	5750
坦	5766
埜	57DC
埴	57F4
堯	582F
堰	5830
堵	5835
堺	583A
塙	5859
增	589E
壕	58D5
壘	58D8
壞	58DE
壬	58EC
壯	58EF
壽	58FD
夷	5937
奄	5944
奎	594E
套	5957
奧	5967
奬	596C
姥	59E5
姪	59EA
娃	5A03
娩	5A29
嬉	5B09
孃	5B43
孜	5B5C
孟	5B5F
宋	5B8B
宏	5B8F
宕	5B95
宥	5BA5
寅	5BC5
寓	5BD3
寢	5BE2
實	5BE6
寬	5BEC
寵	5BF5
將	5C07
專	5C08
尖	5C16
尤	5C24
尭	5C2D
屑	5C51
峨	5CE8
峯	5CEF
峻	5CFB
峽	5CFD
崚	5D1A
嵩	5D69
嵯	5D6F
嶋	5D8B
嶺	5DBA
巌	5DCC
巖	5DD6
巢	5DE2
巫	5DEB
已	5DF2
巳	5DF3
巴	5DF4
巷	5DF7
巽	5DFD
帖	5E16
帶	5E36
幌	5E4C
幡	5E61
庄	5E84
庇	5E87
庚	5E9A
庵	5EB5
廟	5EDF
廣	5EE3
廳	5EF3
廻	5EFB
廿	5EFF
弘	5F18
弛	5F1B
彈	5F48
彌	5F4C
彗	5F57
彦	5F66
彪	5F6A
彬	5F6C
從	5F9E
徠	5FA0
徵	5FB5
德	5FB7
徽	5FBD
忽	5FFD
怜	601C
恆	6046
恕	6055
恢	6062
恰	6070
悉	6089
悌	608C
惇	60C7
惚	60DA
惟	60DF
惠	60E0
惡	60E1
惣	60E3
惹	60F9
惺	60FA
愼	613C
慧	6167
憐	6190
應	61C9
懷	61F7
戊	620A
或	6216
戟	621F
戰	6230
戲	6232
托	6258
拂	62C2
拔	62D4
拜	62DC
按	6309
挺	633A
挽	633D
捧	6367
捲	6372
捷	6377
捺	637A
掠	63A0
掬	63AC
揃	63C3
揭	63ED
搖	6416
搜	641C
摑	6451
摺	647A
撒	6492
撞	649E
撫	64AB
播	64AD
撰	64B0
擊	64CA
擢	64E2
攝	651D
收	6536
敍	654D
敦	6566
斐	6590
斡	65A1
斧	65A7
斯	65AF
於	65BC
旭	65ED
昂	6602
昊	660A
昌	660C
昏	660F
昴	6634
晃	6643
晄	6644
晋	664B
晏	664F
晒	6652
晚	665A
晝	665D
晟	665F
晦	6666
晨	6668
智	667A
暉	6689
暢	66A2
曆	66C6
曉	66C9
曙	66D9
曝	66DD
曳	66F3
曾	66FE
朋	670B
朔	6714
李	674E
杏	674F
杖	6756
杜	675C
杭	676D
杵	6775
杷	6777
枇	6787
柊	67CA
柏	67CF
柑	67D1
柘	67D8
柚	67DA
柴	67F4
柾	67FE
栖	6816
栗	6817
栞	681E
桂	6842
桐	6850
桔	6854
桧	6867
桶	6876
梁	6881
梓	6893
梛	689B
條	689D
梢	68A2
梧	68A7
梯	68AF
梶	68B6
棲	68F2
椀	6900
椋	690B
椛	691B
椰	6930
椿	693F
楊	694A
楓	6953
楕	6955
楚	695A
楠	6960
楢	6962
楯	696F
榊	698A
榎	698E
榛	699B
榮	69AE
槇	69C7
槌	69CC
槍	69CD
槙	69D9
槻	69FB
樂	6A02
樋	6A0B
樟	6A1F
樣	6A23
樫	6A2B
樺	6A3A
樽	6A3D
橘	6A58
橙	6A59
橫	6A6B
檀	6A80
檎	6A8E
檜	6A9C
檢	6AA2
櫂	6AC2
櫓	6AD3
櫛	6ADB
櫻	6AFB
欣	6B23
欽	6B3D
歎	6B4E
此	6B64
步	6B65
歷	6B77
殆	6B86
毅	6BC5
每	6BCF
毘	6BD8
毬	6BEC
氣	6C23
汀	6C40
汐	6C50
汝	6C5D
汲	6C72
沌	6C8C
沓	6C93
沫	6CAB
洛	6D1B
洲	6D32
洵	6D35
洸	6D38
浩	6D69
浬	6D6C
涉	6D89
淀	6DC0
淋	6DCB
淚	6DDA
淨	6DE8
淳	6DF3
淵	6DF5
渚	6E1A
渥	6E25
渴	6E34
渾	6E3E
湊	6E4A
湘	6E58
湛	6E5B
溜	6E9C
溢	6EA2
溫	6EAB
滉	6EC9
滯	6EEF
漕	6F15
漣	6F23
漱	6F31
澁	6F81
澪	6FAA
濕	6FD5
濡	6FE1
瀕	7015
瀧	7027
瀨	7028
灘	7058
灸	7078
灼	707C
烏	70CF
焚	711A
焰	7130
煉	7149
煌	714C
煤	7164
熙	7199
燈	71C8
燎	71CE
燒	71D2
燕	71D5
燦	71E6
燭	71ED
燿	71FF
爭	722D
爲	7232
爾	723E
牒	7252
牟	725F
牡	7261
牽	727D
犀	7280
狀	72C0
狹	72F9
狼	72FC
猪	732A
獅	7345
獸	7378
玖	7396
玲	73B2
珀	73C0
珂	73C2
珈	73C8
珊	73CA
琉	7409
琢	7422
琥	7425
琳	7433
琵	7435
琶	7436
瑚	745A
瑛	745B
瑞	745E
瑳	7473
瑶	7476
瓜	74DC
瓢	74E2
甥	7525
甫	752B
畠	7560
畢	7562
疊	758A
疋	758B
疏	758F
瘦	7626
皐	7690
皓	7693
盃	76C3
盜	76DC
盡	76E1
眞	771E
眸	7738
瞥	77A5
矩	77E9
砥	7825
砦	7826
砧	7827
硯	786F
碎	788E
碓	7893
碗	7897
碧	78A7
碩	78A9
磐	78D0
磯	78EF
祁	7941
祇	7947
祐	7950
祕	7955
祢	7962
祷	7977
祿	797F
禄	7984
禎	798E
禪	79AA
禮	79AE
禰	79B0
禱	79B1
禽	79BD
禾	79BE
秤	79E4
秦	79E6
稀	7A00
稔	7A14
稜	7A1C
稟	7A1F
稻	7A3B
穗	7A57
穣	7A63
穰	7A70
穹	7A79
穿	7A7F
窄	7A84
窪	7AAA
窺	7ABA
竣	7AE3
竪	7AEA
竺	7AFA
竿	7AFF
笈	7B08
笙	7B19
笠	7B20
笹	7B39
筈	7B48
筑	7B51
箔	7B94
箕	7B95
篇	7BC7
篠	7BE0
簞	7C1E
簾	7C3E
籾	7C7E
粟	7C9F
粥	7CA5
粹	7CB9
糊	7CCA
紐	7D10
紗	7D17
紘	7D18
紬	7D2C
絃	7D43
絆	7D46
絢	7D62
綜	7D9C
綠	7DA0
綴	7DB4
綸	7DB8
綺	7DBA
綾	7DBE
緋	7DCB
緖	7DD6
緣	7DE3
縞	7E1E
縣	7E23
縱	7E31
繡	7E61
繫	7E6B
纂	7E82
纏	7E8F
纖	7E96
羚	7F9A
翔	7FD4
翠	7FE0
耀	8000
而	800C
耶	8036
耽	803D
聡	8061
聽	807D
肇	8087
肋	808B
肴	80B4
胡	80E1
胤	80E4
脩	8129
脹	8139
腔	8154
膏	818F
臟	81DF
臥	81E5
與	8207
舜	821C
舵	8235
芙	8299
芥	82A5
芦	82A6
芭	82AD
芹	82B9
苑	82D1
苔	82D4
苺	82FA
茄	8304
茅	8305
茉	8309
茜	831C
茸	8338
荻	837B
莉	8389
莊	838A
莞	839E
莫	83AB
菅	83C5
菖	83D6
菩	83E9
菫	83EB
菱	83F1
萄	8404
萊	840A
萌	840C
萠	8420
萩	8429
萬	842C
萱	8431
葡	8461
董	8463
葦	8466
葵	8475
葺	847A
蒐	8490
蒔	8494
蒙	8499
蒲	84B2
蒼	84BC
蓉	84C9
蓑	84D1
蓬	84EC
蓮	84EE
蔓	8513
蔣	8523
蔦	8526
蔭	852D
蕃	8543
蕉	8549
蕎	854E
蕗	8557
蕨	8568
蕪	856A
蕾	857E
薗	8597
薙	8599
薩	85A9
薰	85B0
藁	85C1
