# Char	Unicode
㐂	3402
㒵	34B5
㓛	34DB
㞍	378D
㟢	37E2
㬢	3B22
㮶	3BB6
㯃	3BC3
㰏	3C0F
㸿	3E3F
㽲	3F72
䉤	4264
䑓	4453
䑛	445B
䖝	459D
䗪	45EA
䡄	4844
䦰	49B0
䰗	4C17
丨	4E28
丯	4E2F
丰	4E30
亍	4E8D
仡	4EE1
份	4EFD
仿	4EFF
伃	4F03
伋	4F0B
佈	4F48
佉	4F49
佖	4F56
佟	4F5F
你	4F60
佪	4F6A
佬	4F6C
佾	4F7E
侊	4F8A
侔	4F94
侗	4F97
俉	4FC9
俠	4FE0
俱	4FF1
倁	5001
倂	5002
倎	500E
倘	5018
倧	5027
倮	502E
倻	503B
偀	5040
偁	5041
傔	5094
僌	50CC
僐	50D0
僦	50E6
僲	50F2
儃	5103
儆	5106
儋	510B
儞	511E
儵	5135
兊	514A
兕	5155
兗	5157
冝	519D
凃	51C3
凊	51CA
凞	51DE
凢	51E2
凮	51EE
刁	5201
刓	5213
刕	5215
剉	5249
剗	5257
剝	525D
剡	5261
劓	5293
勈	52C8
勌	52CC
勐	52D0
勖	52D6
勛	52DB
勰	52F0
勻	52FB
匀	5300
匇	5307
匜	531C
卡	5361
卣	5363
卽	537D
厓	5393
厝	539D
厲	53B2
吒	5412
吞	541E
吧	5427
呍	544D
呫	546B
呴	5474
呿	547F
咈	5488
咖	5496
咜	549C
咡	54A1
咩	54A9
哆	54C6
哿	54FF
唎	550E
唫	552B
唵	5535
啐	5550
啞	555E
喁	5581
喆	5586
喎	558E
喭	55AD
嗎	55CE
嘈	5608
嘎	560E
嘻	563B
噉	5649
噓	5653
噦	5666
噯	566F
噱	5671
噲	5672
噶	5676
嚙	5699
嚞	569E
嚩	56A9
嚬	56AC
嚳	56B3
囉	56C9
囊	56CA
圊	570A
圡	5721
圯	572F
圳	5733
圴	5734
坰	5770
坷	5777
坼	577C
垜	579C
垸	57B8
埇	57C7
埈	57C8
埏	57CF
埤	57E4
埭	57ED
埵	57F5
埶	57F6
埿	57FF
堉	5809
塡	5861
塤	5864
塼	587C
墉	5889
增	589E
墩	58A9
壎	58CE
壒	58D2
壔	58D4
壚	58DA
壠	58E0
壩	58E9
夌	590C
奝	595D
奭	596D
妋	598B
妒	5992
妤	59A4
姃	59C3
姒	59D2
姝	59DD
姸	59F8
娓	5A13
娣	5A23
婧	5A67
婭	5A6D
婷	5A77
婾	5A7E
媄	5A84
媞	5A9E
媧	5AA7
嫄	5AC4
嬙	5B19
嬥	5B25
孁	5B41
孖	5B56
孽	5B7D
宓	5B93
寘	5BD8
寬	5BEC
尒	5C12
尞	5C1E
尣	5C23
尫	5C2B
屛	5C5B
屢	5C62
屺	5C7A
岏	5C8F
岟	5C9F
岣	5CA3
岪	5CAA
岺	5CBA
峋	5CCB
峐	5CD0
峒	5CD2
峴	5CF4
崍	5D0D
崧	5D27
嵆	5D46
嵇	5D47
嵊	5D4A
嵓	5D53
嵭	5D6D
嶁	5D81
嶠	5DA0
嶤	5DA4
嶧	5DA7
嶸	5DB8
巋	5DCB
巢	5DE2
帔	5E14
帘	5E18
幘	5E58
幞	5E5E
幷	5E77
庾	5EBE
廋	5ECB
廹	5EF9
开	5F00
异	5F02
弇	5F07
弝	5F1D
弣	5F23
弴	5F34
弶	5F36
弽	5F3D
彀	5F40
彅	5F45
彔	5F54
彘	5F58
彤	5F64
彧	5F67
彽	5F7D
徉	5F89
徜	5F9C
徧	5FA7
徯	5FAF
徵	5FB5
德	5FB7
忉	5FC9
忞	5FDE
忡	5FE1
忩	5FE9
怍	600D
怔	6014
怘	6018
怳	6033
怵	6035
恇	6047
悝	609D
悞	609E
惋	60CB
惔	60D4
惕	60D5
惝	60DD
惸	60F8
愜	611C
愫	612B
愰	6130
愷	6137
憍	618D
憹	61B9
憼	61BC
戢	6222
戾	623E
扃	6243
扖	6256
扚	625A
扯	626F
抅	6285
拄	62C4
拖	62D6
拼	62FC
挊	630A
挘	6318
挹	6339
捃	6343
捥	6365
捼	637C
揥	63E5
揭	63ED
揵	63F5
搐	6410
搔	6414
搢	6422
摑	6451
摠	6460
摭	646D
摹	6479
撾	64BE
撿	64BF
擄	64C4
擊	64CA
擎	64CE
擐	64D0
擷	64F7
擻	64FB
攢	6522
攩	6529
敧	6567
斝	659D
昀	6600
昉	6609
昕	6615
昞	661E
昢	6622
昤	6624
昫	662B
昰	6630
昱	6631
昳	6633
昺	663A
晈	6648
晌	664C
晙	6659
晚	665A
晡	6661
晥	6665
晳	6673
晷	6677
晸	6678
暍	668D
暠	66A0
暲	66B2
暻	66BB
曆	66C6
曈	66C8
曛	66DB
曨	66E8
曺	66FA
曻	66FB
朓	6713
朳	6733
杇	6747
杈	6748
杦	6766
杻	677B
极	6781
枓	6793
枘	6798
枛	679B
枻	67BB
柀	67C0
柗	67D7
柹	67F9
柼	67FC
栁	6801
栝	681D
栬	682C
栱	6831
桒	6852
桛	685B
桲	6872
桵	6875
梣	68A3
梥	68A5
梲	68B2
棈	68C8
棐	68D0
棨	68E8
棭	68ED
棰	68F0
棱	68F1
棼	68FC
椊	690A
椵	6935
楂	6942
楉	6949
楗	6957
楣	6963
楤	6964
楨	6968
榀	6980
榥	69A5
榭	69AD
槏	69CF
槢	69E2
槩	69E9
槪	69EA
槵	69F5
槶	69F6
樏	6A0F
樕	6A15
樻	6A3B
樾	6A3E
橅	6A45
橐	6A50
橖	6A56
橛	6A5B
橫	6A6B
橳	6A73
檉	6A89
檔	6A94
檝	6A9D
檞	6A9E
檥	6AA5
櫤	6AE4
櫧	6AE7
欛	6B1B
欞	6B1E
欬	6B2C
欵	6B35
歆	6B46
歖	6B56
歠	6B60
步	6B65
歧	6B67
歷	6B77
殂	6B82
殩	6BA9
殭	6BAD
每	6BCF
毖	6BD6
毗	6BD7
毿	6BFF
氅	6C05
氐	6C10
氳	6C33
汙	6C59
汜	6C5C
汴	6C74
汶	6C76
沅	6C85
沆	6C86
沘	6C98
沜	6C9C
沪	6CAA
泆	6CC6
泔	6CD4
泠	6CE0
泫	6CEB
泮	6CEE
泻	6CFB
洄	6D04
洎	6D0E
洮	6D2E
洱	6D31
洹	6D39
洿	6D3F
浘	6D58
浥	6D65
涂	6D82
涇	6D87
涉	6D89
涔	6D94
涪	6DAA
涬	6DAC
涿	6DBF
淄	6DC4
淖	6DD6
淚	6DDA
淛	6DDB
淝	6DDD
淼	6DFC
渴	6E34
湄	6E44
湜	6E5C
湞	6E5E
溫	6EAB
溱	6EB1
滁	6EC1
滇	6EC7
滎	6ECE
漐	6F10
漚	6F1A
漪	6F2A
漯	6F2F
漳	6F33
潑	6F51
潙	6F59
潞	6F5E
潡	6F61
潢	6F62
潾	6F7E
澈	6F88
澌	6F8C
澍	6F8D
澔	6F94
澠	6FA0
澧	6FA7
澶	6FB6
澼	6FBC
濇	6FC7
濊	6FCA
濰	6FF0
濵	6FF5
濹	6FF9
瀅	7005
瀆	7006
瀨	7028
灊	704A
灎	704E
灝	705D
灞	705E
灤	7064
灵	7075
炅	7085
炤	70A4
炫	70AB
炷	70B7
烔	70D4
烘	70D8
烤	70E4
焏	710F
焞	711E
焠	7120
焫	712B
焮	712E
焰	7130
煆	7146
煇	7147
煑	7151
煒	7152
煜	715C
煠	7160
煨	7168
熅	7185
熇	7187
熒	7192
熺	71BA
燁	71C1
燄	71C4
燾	71FE
爀	7200
爕	7215
牕	7255
牖	7256
犍	728D
犛	729B
犾	72BE
狀	72C0
狻	72FB
猧	7327
猨	7328
獐	7350
獦	7366
獼	737C
玕	7395
玟	739F
玠	73A0
玢	73A2
玦	73A6
玫	73AB
珉	73C9
珏	73CF
珖	73D6
珙	73D9
珣	73E3
珩	73E9
琇	7407
琊	740A
琚	741A
琛	741B
琦	7426
琨	7428
琪	742A
琫	742B
琬	742C
琮	742E
琯	742F
琰	7430
瑄	7444
瑆	7446
瑇	7447
瑋	744B
瑗	7457
瑢	7462
瑫	746B
瑭	746D
璆	7486
璇	7487
璉	7489
璐	7490
璘	7498
璜	749C
璟	749F
璣	74A3
璦	74A6
璨	74A8
璩	74A9
璵	74B5
璿	74BF
瓈	74C8
瓉	74C9
瓚	74DA
瓿	74FF
甁	7501
甗	7517
甯	752F
畯	756F
畹	7579
疒	7592
痎	75CE
痤	75E4
瘀	7600
瘂	7602
瘈	7608
瘕	7615
瘖	7616
瘙	7619
瘞	761E
瘦	7626
瘭	762D
瘵	7635
癃	7643
癋	764B
癤	7664
癥	7665
癭	766D
癯	766F
癱	7671
皁	7681
皛	769B
皝	769D
皞	769E
皦	76A6
皪	76AA
皶	76B6
盅	76C5
盌	76CC
盎	76CE
盔	76D4
盦	76E6
盱	76F1
盼	76FC
眊	770A
眙	7719
眴	7734
眶	7736
睆	7746
睍	774D
睎	774E
睜	775C
睟	775F
睢	7762
睺	777A
瞀	7780
瞔	7794
瞪	77AA
矠	77E0
砭	782D
硃	7843
硎	784E
硏	784F
硑	7851
硨	7868
确	786E
碭	78AD
碰	78B0
磤	78E4
磲	78F2
磷	78F7
礀	7900
礜	791C
礮	792E
礱	7931
礴	7934
祅	7945
祆	7946
祜	795C
祹	7979
禘	7998
禱	79B1
禸	79B8
秈	79C8
秊	79CA
秔	79D4
秞	79DE
秫	79EB
秭	79ED
稃	7A03
稹	7A39
穝	7A5D
