# Char	Unicode
㐆	3406
㐬	342C
㐮	342E
㑨	3468
㑪	346A
㒒	3492
㒼	34BC
㓁	34C1
㓇	34C7
㔟	351F
㕝	355D
㕞	355E
㕣	3563
㕮	356E
㖦	35A6
㖨	35A8
㗅	35C5
㗚	35DA
㗴	35F4
㘅	3605
㙊	364A
㚑	3691
㚖	3696
㚙	3699
㛏	36CF
㝡	3761
㝢	3762
㝫	376B
㝬	376C
㝵	3775
㟁	37C1
㟨	37E8
㟴	37F4
㟽	37FD
㠀	3800
㠯	382F
㠶	3836
㡀	3840
㡜	385C
㡡	3861
㣺	38FA
㤗	3917
㤚	391A
㥯	396F
㩮	3A6E
㩳	3A73
㫖	3AD6
㫗	3AD7
㫪	3AEA
㬎	3B0E
㬚	3B1A
㬜	3B1C
㭭	3B6D
㭷	3B77
㮇	3B87
㮈	3B88
㮍	3B8D
㮤	3BA4
㯍	3BCD
㯰	3BF0
㰦	3C26
㳃	3CC3
㳒	3CD2
㴑	3D11
㴞	3D1E
㵤	3D64
㶚	3D9A
㷀	3DC0
㷔	3DD4
㸅	3E05
㹠	3E60
㹦	3E66
㹨	3E68
㺃	3E83
㺔	3E94
㽗	3F57
㽵	3F75
㽷	3F77
㾮	3FAE
㿉	3FC9
㿗	3FD7
䀹	4039
䁘	4058
䂓	4093
䄅	4105
䅈	4148
䅏	414F
䅣	4163
䆴	41B4
䆿	41BF
䇦	41E6
䇮	41EE
䇳	41F3
䈇	4207
䈎	420E
䋆	42C6
䋖	42D6
䋝	42DD
䌂	4302
䌫	432B
䍃	4343
䏮	43EE
䏰	43F0
䐈	4408
䐗	4417
䐜	441C
䐢	4422
䑶	4476
䑺	447A
䒑	4491
䒳	44B3
䒾	44BE
䓔	44D4
䔈	4508
䔍	450D
䔥	4525
䕃	4543
䖸	45B8
䗥	45E5
䘏	460F
䙁	4641
䙥	4665
䚡	46A1
䚯	46AF
䜌	470C
䝤	4764
䟽	47FD
䠖	4816
䡎	484E
䢵	48B5
䧧	49E7
䧺	49FA
䨄	4A04
䨩	4A29
䪼	4ABC
䬻	4B3B
䯂	4BC2
䯊	4BCA
䯒	4BD2
䯨	4BE8
䰠	4C20
䳄	4CC4
䳑	4CD1
䴇	4D07
䵷	4D77
丂	4E02
丏	4E0F
丒	4E12
丩	4E29
丫	4E2B
丬	4E2C
丮	4E2E
乀	4E40
乇	4E47
么	4E48
乑	4E51
乚	4E5A
乩	4E69
亝	4E9D
亹	4EB9
亻	4EBB
亼	4EBC
仃	4EC3
仈	4EC8
仐	4ED0
仚	4EDA
仫	4EEB
仱	4EF1
仵	4EF5
伀	4F00
伖	4F16
伷	4F37
伾	4F3E
佔	4F54
佘	4F58
佤	4F64
佷	4F77
佸	4F78
佺	4F7A
佽	4F7D
侂	4F82
侅	4F85
侒	4F92
侚	4F9A
侲	4FB2
侾	4FBE
俅	4FC5
俋	4FCB
俏	4FCF
俒	4FD2
俦	4FE6
俲	4FF2
倀	5000
倐	5010
倓	5013
倜	501C
倞	501E
倢	5022
偂	5042
偆	5046
偎	504E
偓	5053
偗	5057
偣	5063
偦	5066
偪	506A
偰	5070
傈	5088
傒	5092
傓	5093
傕	5095
傖	5096
傜	509C
傣	50A3
傪	50AA
傱	50B1
傺	50BA
傻	50BB
僄	50C4
僇	50C7
僎	50CE
僔	50D4
僙	50D9
僡	50E1
僩	50E9
僳	50F3
儈	5108
儗	5117
儛	511B
兠	5160
关	5173
养	517B
冃	5183
冋	518B
冘	5198
冣	51A3
冭	51AD
冼	51BC
凳	51F3
凴	51F4
刂	5202
划	5212
刖	5216
剕	5255
剜	525C
剬	526C
剷	5277
劂	5282
劄	5284
劘	5298
劤	52A4
劦	52A6
劯	52AF
劺	52BA
劻	52BB
勊	52CA
勑	52D1
勷	52F7
匊	530A
匋	530B
匤	5324
匵	5335
匾	533E
卂	5342
卧	5367
卬	536C
卺	537A
厤	53A4
厴	53B4
厷	53B7
叀	53C0
叕	53D5
叚	53DA
叴	53F4
叵	53F5
吤	5424
吨	5428
呃	5443
呕	5455
呢	5462
呦	5466
呬	546C
咊	548A
咍	548D
咕	5495
咠	54A0
咦	54A6
咭	54AD
咮	54AE
咷	54B7
咺	54BA
咿	54BF
哃	54C3
哬	54EC
哯	54EF
哱	54F1
哳	54F3
唀	5500
唁	5501
唉	5509
唼	553C
啁	5541
啇	5547
啊	554A
啠	5560
啡	5561
啤	5564
啽	557D
喂	5582
喈	5588
喑	5591
喿	55BF
嗉	55C9
嗌	55CC
嗑	55D1
嗒	55D2
嗝	55DD
嗢	55E2
嗩	55E9
嘇	5607
嘐	5610
嘨	5628
嘰	5630
嘷	5637
嘽	563D
嘿	563F
噀	5640
噇	5647
噞	565E
噠	5660
噭	566D
嚈	5688
嚌	568C
嚕	5695
嚚	569A
嚝	569D
嚨	56A8
嚭	56AD
嚲	56B2
囅	56C5
