#國字	Unicode
万	4E07
丌	4E0C
丏	4E0F
冇	5187
与	4E0E
丮	4E2E
丰	4E30
丱	4E31
乂	4E42
乜	4E5C
亍	4E8D
亓	4E93
亢	4EA2
亳	4EB3
亶	4EB6
亹	4EB9
仂	4EC2
仉	4EC9
仨	4EE8
仜	4EDC
仩	4EE9
仡	4EE1
仝	4EDD
伎	4F0E
优	4F18
伬	4F2C
仵	4EF5
伔	4F14
伋	4F0B
仱	4EF1
伀	4F00
价	4EF7
佖	4F56
伻	4F3B
佢	4F62
佉	4F49
体	4F53
佤	4F64
伾	4F3E
佈	4F48
佧	4F67
佒	4F52
佚	4F5A
佟	4F5F
佁	4F41
佘	4F58
侘	4F98
佼	4F7C
侅	4F85
佽	4F7D
侀	4F80
侇	4F87
佶	4F76
佴	4F74
侉	4F89
侑	4F91
侄	4F84
佷	4F77
佌	4F4C
侗	4F97
佪	4F6A
侚	4F9A
佹	4F79
侁	4F81
佸	4F78
侐	4F90
侜	4F9C
佺	4F7A
侔	4F94
侞	4F9E
俍	4FCD
俅	4FC5
俓	4FD3
侲	4FB2
俉	4FC9
侷	4FB7
俋	4FCB
俁	4FC1
俔	4FD4
俜	4FDC
俙	4FD9
侻	4FBB
侳	4FB3
俛	4FDB
俇	4FC7
倞	501E
倅	5005
倇	5007
倓	5013
倢	5022
倰	5030
倛	501B
俵	4FF5
俴	4FF4
倳	5033
倷	5037
倬	502C
俶	4FF6
俷	4FF7
倗	5017
倜	501C
倠	5020
偯	506F
偰	5070
偪	506A
偡	5061
偞	505E
偠	5060
偭	506D
偓	5053
偋	504B
偝	505D
偲	5072
偈	5048
偍	504D
偁	5041
偛	505B
偊	504A
偢	5062
倕	5015
偅	5045
偟	505F
偩	5069
偫	506B
傛	509B
傚	509A
傕	5095
傔	5094
傞	509E
傋	508B
傣	50A3
傃	5083
傌	508C
傎	508E
傝	509D
偨	5068
傜	509C
傒	5092
傂	5082
傽	50BD
傿	50BF
僆	50C6
傮	50AE
僄	50C4
僊	50CA
傴	50B4
僇	50C7
僈	50C8
僂	50C2
傰	50B0
僁	50C1
傺	50BA
傱	50B1
僋	50CB
僉	50C9
僦	50E6
僔	50D4
僗	50D7
僨	50E8
僳	50F3
僛	50DB
僪	50EA
僎	50CE
僝	50DD
僤	50E4
僓	50D3
僩	50E9
僬	50EC
僰	50F0
僿	50FF
儃	5103
儰	5130
僸	50F8
儆	5106
儇	5107
僶	50F6
僾	50FE
儋	510B
儌	510C
僽	50FD
儜	511C
儕	5115
儓	5113
儗	5117
儚	511A
儑	5111
儦	5126
儥	5125
儢	5122
儤	5124
儠	5120
儱	5131
儴	5134
儵	5135
儳	5133
儺	513A
儸	5138
儹	5139
儻	513B
儽	513D
党	515A
冏	518F
冔	5194
冓	5193
冘	5198
冞	519E
冪	51AA
冱	51B1
冼	51BC
凊	51CA
凄	51C4
凅	51C5
凔	51D4
凘	51D8
刌	520C
刉	5209
刓	5213
刖	5216
刜	521C
刞	521E
刵	5235
刲	5232
刳	5233
剆	5246
刱	5231
剄	5244
剉	5249
剡	5261
剚	525A
剒	5252
剞	525E
剟	525F
剕	5255
剫	526B
剭	526D
剬	526C
剺	527A
剸	5278
剻	527B
剼	527C
劂	5282
劀	5280
劁	5281
劋	528B
劌	528C
劊	528A
劓	5293
劖	5296
劘	5298
劗	5297
劙	5299
劦	52A6
劭	52AD
劼	52BC
勍	52CD
勖	52D6
勣	52E3
勩	52E9
勰	52F0
勱	52F1
勴	52F4
勺	52FA
匊	530A
匜	531C
匢	5322
匭	532D
匰	5330
匴	5334
匷	5337
匼	533C
匽	533D
卌	534C
卍	534D
卣	5363
卬	536C
卼	537C
厂	5382
厎	538E
厒	5392
厗	5397
厖	5396
厞	539E
厜	539C
厤	53A4
厬	53AC
厹	53B9
叄	53C4
叡	53E1
叻	53FB
吰	5430
吷	5437
吪	542A
呔	5454
听	542C
咇	5487
呿	547F
咁	5481
咑	5491
咂	5482
咈	5488
呫	546B
呺	547A
呾	547E
呥	5465
呬	546C
呴	5474
呦	5466
咍	548D
咩	54A9
咺	54BA
咡	54A1
咭	54AD
咥	54A5
咧	54A7
哏	54CF
哃	54C3
茍	830D
咷	54B7
咮	54AE
哖	54D6
咶	54B6
哅	54C5
哆	54C6
咿	54BF
咠	54A0
呰	5470
咼	54BC
咢	54A2
唦	5526
唇	5507
哢	54E2
唗	5517
唒	5512
哧	54E7
哳	54F3
哽	54FD
哤	54E4
唚	551A
哿	54FF
唄	5504
唈	5508
哫	54EB
唏	550F
唑	5511
唅	5505
啵	5575
啶	5576
唼	553C
啍	554D
啐	5550
唴	5534
唪	552A
啑	5551
啢	5562
唶	5536
唵	5535
唰	5530
啒	5552
啅	5545
啁	5541
啗	5557
唌	550C
唲	5532
啥	5565
啎	554E
喑	5591
喨	55A8
喥	55A5
喭	55AD
啷	5577
噅	5645
喢	55A2
喫	55AB
喓	5593
喈	5588
喏	558F
喵	55B5
喁	5581
喙	5599
喣	55A3
喒	5592
喤	55A4
啽	557D
喌	558C
喦	55A6
嗃	55C3
嗛	55DB
嗌	55CC
嗐	55D0
嗉	55C9
嗋	55CB
嗊	55CA
嗝	55DD
嗀	55C0
嗔	55D4
嗄	55C4
嗩	55E9
喿	55BF
嗒	55D2
喍	558D
嗏	55CF
嗕	55D5
嗢	55E2
嗖	55D6
嗈	55C8
嗲	55F2
嘧	5627
嘕	5615
嘌	560C
嘒	5612
嗼	55FC
嘏	560F
嘜	561C
嘁	5601
嘐	5610
嘓	5613
嗶	55F6
嘂	5602
嗺	55FA
嘝	561D
嘄	5604
嗿	55FF
噈	5648
噂	5642
噌	564C
嘵	5635
噁	5641
噊	564A
噉	5649
噆	5646
噘	5658
噚	565A
噀	5640
嘳	5633
嘽	563D
嘬	562C
嘾	563E
嘸	5638
噍	564D
噰	5670
噠	5660
噶	5676
噮	566E
噳	5673
噦	5666
噣	5663
噭	566D
噲	5672
噞	565E
嚓	5693
嚌	568C
嚍	568D
嚆	5686
嚄	5684
嚃	5683
嚘	5698
嚜	569C
嚗	5697
嚚	569A
嚫	56AB
嚭	56AD
嚦	56A6
嚧	56A7
嚪	56AA
嚬	56AC
嚲	56B2
嚵	56B5
嚳	56B3
囃	56C3
嚽	56BD
嚾	56BE
囆	56C6
囅	56C5
囋	56CB
囓	56D3
囍	56CD
囔	56D4
囗	56D7
囝	56DD
囡	56E1
囟	56DF
囫	56EB
囮	56EE
囧	56E7
囷	56F7
囹	56F9
囿	56FF
圁	5701
圄	5704
圂	5702
圊	570A
圉	5709
圇	5707
圌	570C
圜	571C
圞	571E
圠	5720
圩	5729
圮	572E
坁	5741
圻	573B
坅	5745
坌	574C
坯	576F
坲	5772
坭	576D
坫	576B
坱	5771
坰	5770
坶	5776
垀	5780
坵	5775
坻	577B
坳	5773
坴	5774
垵	57B5
垞	579E
垓	5793
垟	579F
垤	57A4
垌	578C
垗	5797
垝	579D
垛	579B
垔	5794
垘	5798
埌	57CC
堲	5832
埕	57D5
埒	57D2
垺	57BA
埆	57C6
垽	57BD
垼	57BC
埻	57FB
埢	57E2
埶	57F6
埜	57DC
埴	57F4
堀	5800
埭	57ED
埽	57FD
堈	5808
埸	57F8
堋	580B
埳	57F3
埏	57CF
堇	5807
堩	5829
堷	5837
堙	5819
堞	581E
堧	5827
堝	581D
堣	5823
堨	5828
埵	57F5
堠	5820
塈	5848
堥	5825
塓	5853
塨	5868
塤	5864
塒	5852
塏	584F
塍	584D
塉	5849
塯	586F
塕	5855
塋	584B
墉	5889
塼	587C
墐	5890
墘	5898
墆	5886
墁	5881
塿	587F
塴	5874
墋	588B
塺	587A
墩	58A9
墫	58AB
墝	589D
墱	58B1
墠	58A0
墣	58A3
墦	58A6
墯	58AF
墬	58AC
壈	58C8
墽	58BD
壖	58D6
壎	58CE
壚	58DA
壝	58DD
壛	58DB
壴	58F4
壼	58FC
壾	58FE
壿	58FF
夃	5903
夆	5906
夌	590C
复	590D
夎	590E
夒	5912
夗	5917
夬	592C
夯	592F
奅	5945
奓	5953
奊	594A
奡	5961
奫	596B
奭	596D
奰	5970
奲	5972
妀	5980
奼	597C
妦	59A6
妘	5998
妠	59A0
妗	5997
妎	598E
妢	59A2
妐	5990
妵	59B5
妺	59BA
姏	59CF
姎	59CE
妲	59B2
姌	59CC
姁	59C1
㚷	36B7
姡	59E1
姞	59DE
姮	59EE
娀	5A00
姱	59F1
姝	59DD
姺	59FA
姽	59FD
姼	59FC
姶	59F6
姤	59E4
娙	5A19
娖	5A16
娉	5A09
娭	5A2D
婠	5A60
婘	5A58
婕	5A55
婧	5A67
婞	5A5E
娸	5A38
娵	5A35
婭	5A6D
婐	5A50
婟	5A5F
婥	5A65
婬	5A6C
婓	5A53
婤	5A64
婗	5A57
媯	5AAF
媔	5A94
媟	5A9F
婺	5A7A
媢	5AA2
媞	5A9E
婸	5A78
媦	5AA6
媧	5AA7
婼	5A7C
媥	5AA5
媬	5AAC
媕	5A95
媮	5AAE
娷	5A37
嫇	5AC7
嫄	5AC4
嫋	5ACB
媺	5ABA
媸	5AB8
媱	5AB1
媵	5AB5
媰	5AB0
媿	5ABF
嫈	5AC8
媻	5ABB
嫜	5ADC
嫮	5AEE
嫥	5AE5
嫕	5AD5
嫪	5AEA
嫚	5ADA
嫭	5AED
嫫	5AEB
嫳	5AF3
嫢	5AE2
嫠	5AE0
嫛	5ADB
嫿	5AFF
嬈	5B08
嫴	5AF4
嫽	5AFD
嫷	5AF7
嫶	5AF6
嬃	5B03
嬗	5B17
嬙	5B19
嬛	5B1B
嬡	5B21
嬎	5B0E
嬓	5B13
嬐	5B10
嬖	5B16
嬭	5B2D
嬥	5B25
嬲	5B32
嬽	5B3D
嬾	5B3E
嬿	5B3F
孃	5B43
孅	5B45
孈	5B48
孋	5B4B
孌	5B4C
孛	5B5B
孢	5B62
孥	5B65
孬	5B6C
屘	5C58
孲	5B72
孷	5B77
宁	5B81
宄	5B84
宎	5B8E
宓	5B93
宕	5B95
宨	5BA8
宧	5BA7
寁	5BC1
寀	5BC0
寪	5BEA
寍	5BCD
寋	5BCB
寔	5BD4
寑	5BD1
寖	5BD6
寘	5BD8
寙	5BD9
寠	5BE0
寰	5BF0
寱	5BF1
尃	5C03
尌	5C0C
尐	5C10
尔	5C14
尒	5C12
尟	5C1F
尨	5C28
尪	5C2A
尰	5C30
尳	5C33
尻	5C3B
屄	5C44
屌	5C4C
屖	5C56
屔	5C54
屙	5C59
屝	5C5D
屣	5C63
屧	5C67
屨	5C68
屩	5C69
屭	5C6D
屮	5C6E
屴	5C74
屼	5C7C
屺	5C7A
岍	5C8D
岏	5C8F
岈	5C88
岋	5C8B
岉	5C89
岒	5C92
岊	5C8A
岮	5CAE
岤	5CA4
岠	5CA0
岵	5CB5
岯	5CAF
岨	5CA8
岬	5CAC
岟	5C9F
岣	5CA3
岭	5CAD
岢	5CA2
岪	5CAA
岧	5CA7
岝	5C9D
峐	5CD0
峘	5CD8
峌	5CCC
峒	5CD2
峗	5CD7
峋	5CCB
峛	5CDB
峞	5CDE
峚	5CDA
峉	5CC9
峇	5CC7
峊	5CCA
峬	5CEC
峴	5CF4
峿	5CFF
峮	5CEE
峱	5CF1
峷	5CF7
崞	5D1E
崋	5D0B
崝	5D1D
崚	5D1A
崠	5D20
崌	5D0C
崨	5D28
崍	5D0D
崦	5D26
崤	5D24
崥	5D25
崏	5D0F
崰	5D30
崒	5D12
崧	5D27
崗	5D17
崣	5D23
崟	5D1F
崷	5D37
嵃	5D43
嵫	5D6B
嵁	5D41
嵋	5D4B
崿	5D3F
崵	5D35
嵑	5D51
嵎	5D4E
嵕	5D55
崳	5D33
崺	5D3A
崴	5D34
嵒	5D52
崽	5D3D
崱	5D31
嵙	5D59
嵇	5D47
嵂	5D42
嵯	5D6F
嵱	5D71
嵣	5D63
嵊	5D4A
嵥	5D65
嵲	5D72
嵬	5D6C
嵞	5D5E
嶂	5D82
嶀	5D80
嵽	5D7D
嶆	5D86
嵺	5D7A
嶁	5D81
嵷	5D77
嶊	5D8A
嶉	5D89
嶈	5D88
嵾	5D7E
嶙	5D99
嶗	5D97
嶟	5D9F
嶒	5D92
嶢	5DA2
嶓	5D93
嶕	5D95
嶠	5DA0
嶜	5D9C
嶡	5DA1
嶚	5D9A
嶞	5D9E
嶔	5D94
嶬	5DAC
嶱	5DB1
嶩	5DA9
嶧	5DA7
嶵	5DB5
嶰	5DB0
嶮	5DAE
嶪	5DAA
嶨	5DA8
嶲	5DB2
嶭	5DAD
嶸	5DB8
嶷	5DB7
巀	5DC0
巃	5DC3
巆	5DC6
巇	5DC7
巉	5DC9
巏	5DCF
巋	5DCB
巕	5DD5
巑	5DD1
巘	5DD8
巟	5DDF
巰	5DF0
巹	5DF9
巿	5DFF
帊	5E0A
帗	5E17
帔	5E14
帙	5E19
帡	5E21
帢	5E22
