#Char	Unicode	SJIS
一	4E00	88EA
丁	4E01	929A
七	4E03	8EB5
万	4E07	969C
丈	4E08	8FE4
三	4E09	8E4F
上	4E0A	8FE3
下	4E0B	89BA
不	4E0D	9573
与	4E0E	975E
丐	4E10	98A0
丑	4E11	894E
且	4E14	8A8E
丕	4E15	98A1
世	4E16	90A2
丗	4E17	99C0
丘	4E18	8B75
丙	4E19	95B8
丞	4E1E	8FE5
両	4E21	97BC
並	4E26	95C0
个	4E2A	98A2
中	4E2D	9286
丱	4E31	98A3
串	4E32	8BF8
丶	4E36	98A4
丸	4E38	8ADB
丹	4E39	924F
主	4E3B	8EE5
丼	4E3C	98A5
丿	4E3F	98A6
乂	4E42	98A7
乃	4E43	9454
久	4E45	8B76
之	4E4B	9456
乍	4E4D	93E1
乎	4E4E	8CC1
乏	4E4F	9652
乕	4E55	E568
乖	4E56	98A8
乗	4E57	8FE6
乘	4E58	98A9
乙	4E59	89B3
九	4E5D	8BE3
乞	4E5E	8CEE
也	4E5F	96E7
乢	4E62	9BA4
乱	4E71	9790
乳	4E73	93FB
乾	4E7E	8AA3
亀	4E80	8B54
亂	4E82	98AA
亅	4E85	98AB
了	4E86	97B9
予	4E88	975C
争	4E89	9188
亊	4E8A	98AD
事	4E8B	8E96
二	4E8C	93F1
于	4E8E	98B0
云	4E91	895D
互	4E92	8CDD
五	4E94	8CDC
井	4E95	88E4
亘	4E98	986A
亙	4E99	9869
些	4E9B	8DB1
亜	4E9C	889F
亞	4E9E	98B1
亟	4E9F	98B2
亠	4EA0	98B3
亡	4EA1	9653
亢	4EA2	98B4
交	4EA4	8CF0
亥	4EA5	88E5
亦	4EA6	9692
亨	4EA8	8B9C
享	4EAB	8B9D
京	4EAC	8B9E
亭	4EAD	92E0
亮	4EAE	97BA
亰	4EB0	98B5
亳	4EB3	98B6
亶	4EB6	98B7
人	4EBA	906C
什	4EC0	8F59
仁	4EC1	906D
仂	4EC2	98BC
仄	4EC4	98BA
仆	4EC6	98BB
仇	4EC7	8B77
今	4ECA	8DA1
介	4ECB	89EE
仍	4ECD	98B9
从	4ECE	98B8
仏	4ECF	95A7
仔	4ED4	8E65
仕	4ED5	8E64
他	4ED6	91BC
仗	4ED7	98BD
付	4ED8	9574
仙	4ED9	90E5
仝	4EDD	8157
仞	4EDE	98BE
仟	4EDF	98C0
代	4EE3	91E3
令	4EE4	97DF
以	4EE5	88C8
仭	4EED	98BF
