#Char	Unicode	SJIS
㐂	3402	87A1
㐆	3406	F04C
㐬	342C	F051
㐮	342E	F052
㑨	3468	F07D
㑪	346A	F075
㒒	3492	F09E
㒵	34B5	87D1
㒼	34BC	F14A
㓁	34C1	F7E6
㓇	34C7	F14E
㓛	34DB	87D9
㔟	351F	F167
㕝	355D	F17C
㕞	355E	F17D
㕣	3563	F181
㕮	356E	F187
㖦	35A6	F1A1
㖨	35A8	F1A4
㗅	35C5	F1AD
㗚	35DA	F1B6
㗴	35F4	F1C0
㘅	3605	F1C8
㙊	364A	F1F7
㚑	3691	F25E
㚖	3696	F262
㚙	3699	F260
㛏	36CF	F276
㝡	3761	F0A1
㝢	3762	F0A3
㝫	376B	F0A7
㝬	376C	F0A6
㝵	3775	F0AA
㞍	378D	987E
㟁	37C1	F0BC
㟢	37E2	988F
㟨	37E8	F0D4
㟴	37F4	F0D7
㟽	37FD	F0DA
㠀	3800	F0DC
㠯	382F	F0ED
㠶	3836	F0EF
㡀	3840	F0F2
㡜	385C	F0F7
㡡	3861	F0F9
㣺	38FA	F2B9
㤗	3917	F2C4
㤚	391A	F2C8
㥯	396F	F2DE
㩮	3A6E	F37A
㩳	3A73	F37E
㫖	3AD6	F391
㫗	3AD7	F3B4
㫪	3AEA	F39C
㬎	3B0E	F3AC
㬚	3B1A	F3B0
㬜	3B1C	F3B2
㬢	3B22	EB68
㭭	3B6D	F3EB
㭷	3B77	F3E3
㮇	3B87	F447
㮈	3B88	F448
㮍	3B8D	F44B
㮤	3BA4	F453
㮶	3BB6	EB9E
㯃	3BC3	EB9F
㯍	3BCD	F467
㯰	3BF0	F47C
㰏	3C0F	EBB8
㰦	3C26	F497
㳃	3CC3	F4B9
㳒	3CD2	F4C0
㴑	3D11	F4EF
㴞	3D1E	F4FC
㵤	3D64	F55F
㶚	3D9A	F573
㷀	3DC0	F590
㷔	3DD4	F597
㸅	3E05	F5A6
㸿	3E3F	EC86
㹠	3E60	F5BD
㹦	3E66	F5BF
㹨	3E68	F5C0
㺃	3E83	F5C7
㺔	3E94	F5CE
㽗	3F57	F653
㽲	3F72	ECCB
㽵	3F75	F665
㽷	3F77	F667
㾮	3FAE	F67B
㿉	3FC9	F687
㿗	3FD7	F68C
䀹	4039	F6A0
䁘	4058	F6AB
䂓	4093	F6B7
䄅	4105	F6E2
䅈	4148	F6F2
䅏	414F	F6F5
䅣	4163	F6FB
䆴	41B4	F752
䆿	41BF	F756
䇦	41E6	F766
䇮	41EE	F76A
䇳	41F3	F767
䈇	4207	F772
䈎	420E	F776
䉤	4264	ED8D
䋆	42C6	F7A9
䋖	42D6	F7B4
䋝	42DD	F7B9
䌂	4302	F7CC
䌫	432B	F7DB
䍃	4343	F7DF
䏮	43EE	F85D
䏰	43F0	F861
䐈	4408	F867
䐗	4417	F869
䐜	441C	F86B
䐢	4422	F86E
䑓	4453	EDD7
䑛	445B	EDD8
䑶	4476	F88C
䑺	447A	F88E
䒑	4491	F897
䒳	44B3	F8B3
䒾	44BE	F8B0
䓔	44D4	F8B2
䔈	4508	F8D7
䔍	450D	F8D2
䔥	4525	F8EB
䕃	4543	F8EC
䖝	459D	EE70
䖸	45B8	F96E
