#Char	Unicode	Big5
§	00A7	A1B1
¯	00AF	A1C2
°	00B0	A258
±	00B1	A1D3
·	00B7	A150
×	00D7	A1D1
÷	00F7	A1D2
ˇ	02C7	A3BE
ˉ	02C9	A3BC
ˊ	02CA	A3BD
ˋ	02CB	A3BF
ˍ	02CD	A1C5
˙	02D9	A3BB
Α	0391	A344
Β	0392	A345
Γ	0393	A346
Δ	0394	A347
Ε	0395	A348
Ζ	0396	A349
Η	0397	A34A
Θ	0398	A34B
Ι	0399	A34C
Κ	039A	A34D
Λ	039B	A34E
Μ	039C	A34F
Ν	039D	A350
Ξ	039E	A351
Ο	039F	A352
Π	03A0	A353
Ρ	03A1	A354
Σ	03A3	A355
Τ	03A4	A356
Υ	03A5	A357
Φ	03A6	A358
Χ	03A7	A359
Ψ	03A8	A35A
Ω	03A9	A35B
α	03B1	A35C
β	03B2	A35D
γ	03B3	A35E
δ	03B4	A35F
ε	03B5	A360
ζ	03B6	A361
η	03B7	A362
θ	03B8	A363
ι	03B9	A364
κ	03BA	A365
λ	03BB	A366
μ	03BC	A367
ν	03BD	A368
ξ	03BE	A369
ο	03BF	A36A
π	03C0	A36B
ρ	03C1	A36C
σ	03C3	A36D
τ	03C4	A36E
υ	03C5	A36F
φ	03C6	A370
χ	03C7	A371
ψ	03C8	A372
ω	03C9	A373
–	2013	A156
—	2014	A158
‘	2018	A1A5
’	2019	A1A6
“	201C	A1A7
”	201D	A1A8
‥	2025	A14C
…	2026	A14B
‧	2027	A145
′	2032	A1AC
‵	2035	A1AB
※	203B	A1B0
€	20AC	A3E1
℃	2103	A24A
℅	2105	A1C1
℉	2109	A24B
Ⅰ	2160	A2B9
Ⅱ	2161	A2BA
Ⅲ	2162	A2BB
Ⅳ	2163	A2BC
Ⅴ	2164	A2BD
Ⅵ	2165	A2BE
Ⅶ	2166	A2BF
Ⅷ	2167	A2C0
Ⅸ	2168	A2C1
Ⅹ	2169	A2C2
←	2190	A1F6
↑	2191	A1F4
→	2192	A1F7
↓	2193	A1F5
↖	2196	A1F8
↗	2197	A1F9
↘	2198	A1FB
↙	2199	A1FA
∕	2215	A241
√	221A	A1D4
∞	221E	A1DB
∟	221F	A1E8
∠	2220	A1E7
∣	2223	A1FD
∥	2225	A1FC
∩	2229	A1E4
∪	222A	A1E5
∫	222B	A1EC
∮	222E	A1ED
∴	2234	A1EF
∵	2235	A1EE
≒	2252	A1DC
≠	2260	A1DA
≡	2261	A1DD
≦	2266	A1D8
≧	2267	A1D9
⊕	2295	A1F2
⊙	2299	A1F3
⊥	22A5	A1E6
⊿	22BF	A1E9
─	2500	A277
│	2502	A278
┌	250C	A27A
┐	2510	A27B
└	2514	A27C
┘	2518	A27D
├	251C	A275
┤	2524	A274
┬	252C	A273
┴	2534	A272
┼	253C	A271
═	2550	A2A4
╞	255E	A2A5
╡	2561	A2A7
╪	256A	A2A6
╭	256D	A27E
╮	256E	A2A1
╯	256F	A2A3
╰	2570	A2A2
╱	2571	A2AC
╲	2572	A2AD
╳	2573	A2AE
╴	2574	A15A
▁	2581	A262
▂	2582	A263
▃	2583	A264
▄	2584	A265
▅	2585	A266
▆	2586	A267
▇	2587	A268
█	2588	A269
▉	2589	A270
▊	258A	A26F
▋	258B	A26E
▌	258C	A26D
▍	258D	A26C
▎	258E	A26B
▏	258F	A26A
▔	2594	A276
▕	2595	A279
■	25A0	A1BD
□	25A1	A1BC
▲	25B2	A1B6
△	25B3	A1B5
▼	25BC	A1BF
▽	25BD	A1BE
◆	25C6	A1BB
◇	25C7	A1BA
○	25CB	A1B3
◎	25CE	A1B7
●	25CF	A1B4
◢	25E2	A2A8
◣	25E3	A2A9
◤	25E4	A2AB
◥	25E5	A2AA
★	2605	A1B9
☆	2606	A1B8
♀	2640	A1F0
♂	2642	A1F1
　	3000	A140
、	3001	A142
。	3002	A143
〃	3003	A1B2
〈	3008	A171
〉	3009	A172
《	300A	A16D
》	300B	A16E
「	300C	A175
」	300D	A176
『	300E	A179
』	300F	A17A
【	3010	A169
】	3011	A16A
〒	3012	A245
〔	3014	A165
〕	3015	A166
〝	301D	A1A9
〞	301E	A1AA
〡	3021	A2C3
〢	3022	A2C4
〣	3023	A2C5
〤	3024	A2C6
〥	3025	A2C7
〦	3026	A2C8
〧	3027	A2C9
〨	3028	A2CA
〩	3029	A2CB
ㄅ	3105	A374
ㄆ	3106	A375
ㄇ	3107	A376
ㄈ	3108	A377
ㄉ	3109	A378
ㄊ	310A	A379
ㄋ	310B	A37A
ㄌ	310C	A37B
ㄍ	310D	A37C
ㄎ	310E	A37D
ㄏ	310F	A37E
ㄐ	3110	A3A1
ㄑ	3111	A3A2
ㄒ	3112	A3A3
ㄓ	3113	A3A4
ㄔ	3114	A3A5
ㄕ	3115	A3A6
ㄖ	3116	A3A7
ㄗ	3117	A3A8
ㄘ	3118	A3A9
ㄙ	3119	A3AA
ㄚ	311A	A3AB
ㄛ	311B	A3AC
ㄜ	311C	A3AD
ㄝ	311D	A3AE
ㄞ	311E	A3AF
ㄟ	311F	A3B0
ㄠ	3120	A3B1
ㄡ	3121	A3B2
ㄢ	3122	A3B3
ㄣ	3123	A3B4
ㄤ	3124	A3B5
ㄥ	3125	A3B6
ㄦ	3126	A3B7
ㄧ	3127	A3B8
ㄨ	3128	A3B9
ㄩ	3129	A3BA
㊣	32A3	A1C0
㎎	338E	A255
㎏	338F	A256
㎜	339C	A250
㎝	339D	A251
㎞	339E	A252
㎡	33A1	A254
㏄	33C4	A257
㏎	33CE	A253
㏑	33D1	A1EB
㏒	33D2	A1EA
㏕	33D5	A24F
︰	FE30	A14A
︱	FE31	A157
︳	FE33	A159
︴	FE34	A15B
︵	FE35	A15F
︶	FE36	A160
︷	FE37	A163
︸	FE38	A164
︹	FE39	A167
︺	FE3A	A168
︻	FE3B	A16B
︼	FE3C	A16C
︽	FE3D	A16F
︾	FE3E	A170
︿	FE3F	A173
﹀	FE40	A174
﹁	FE41	A177
﹂	FE42	A178
﹃	FE43	A17B
﹄	FE44	A17C
﹉	FE49	A1C6
﹊	FE4A	A1C7
﹋	FE4B	A1CA
﹌	FE4C	A1CB
﹍	FE4D	A1C8
﹎	FE4E	A1C9
﹏	FE4F	A15C
﹐	FE50	A14D
﹑	FE51	A14E
﹒	FE52	A14F
﹔	FE54	A151
﹕	FE55	A152
﹖	FE56	A153
﹗	FE57	A154
﹙	FE59	A17D
﹚	FE5A	A17E
﹛	FE5B	A1A1
﹜	FE5C	A1A2
﹝	FE5D	A1A3
﹞	FE5E	A1A4
﹟	FE5F	A1CC
﹠	FE60	A1CD
﹡	FE61	A1CE
﹢	FE62	A1DE
﹣	FE63	A1DF
﹤	FE64	A1E0
﹥	FE65	A1E1
﹦	FE66	A1E2
﹨	FE68	A242
﹩	FE69	A24C
﹪	FE6A	A24D
﹫	FE6B	A24E
！	FF01	A149
＃	FF03	A1AD
＄	FF04	A243
％	FF05	A248
＆	FF06	A1AE
（	FF08	A15D
）	FF09	A15E
＊	FF0A	A1AF
＋	FF0B	A1CF
，	FF0C	A141
－	FF0D	A1D0
．	FF0E	A144
／	FF0F	A1FE
０	FF10	A2AF
１	FF11	A2B0
２	FF12	A2B1
３	FF13	A2B2
４	FF14	A2B3
５	FF15	A2B4
６	FF16	A2B5
７	FF17	A2B6
８	FF18	A2B7
９	FF19	A2B8
：	FF1A	A147
；	FF1B	A146
＜	FF1C	A1D5
＝	FF1D	A1D7
＞	FF1E	A1D6
？	FF1F	A148
＠	FF20	A249
Ａ	FF21	A2CF
Ｂ	FF22	A2D0
Ｃ	FF23	A2D1
Ｄ	FF24	A2D2
Ｅ	FF25	A2D3
Ｆ	FF26	A2D4
Ｇ	FF27	A2D5
Ｈ	FF28	A2D6
Ｉ	FF29	A2D7
Ｊ	FF2A	A2D8
Ｋ	FF2B	A2D9
Ｌ	FF2C	A2DA
Ｍ	FF2D	A2DB
Ｎ	FF2E	A2DC
Ｏ	FF2F	A2DD
Ｐ	FF30	A2DE
Ｑ	FF31	A2DF
Ｒ	FF32	A2E0
Ｓ	FF33	A2E1
Ｔ	FF34	A2E2
Ｕ	FF35	A2E3
Ｖ	FF36	A2E4
Ｗ	FF37	A2E5
Ｘ	FF38	A2E6
Ｙ	FF39	A2E7
Ｚ	FF3A	A2E8
＼	FF3C	A240
＿	FF3F	A1C4
ａ	FF41	A2E9
ｂ	FF42	A2EA
ｃ	FF43	A2EB
ｄ	FF44	A2EC
ｅ	FF45	A2ED
ｆ	FF46	A2EE
ｇ	FF47	A2EF
ｈ	FF48	A2F0
ｉ	FF49	A2F1
ｊ	FF4A	A2F2
ｋ	FF4B	A2F3
ｌ	FF4C	A2F4
ｍ	FF4D	A2F5
ｎ	FF4E	A2F6
ｏ	FF4F	A2F7
ｐ	FF50	A2F8
ｑ	FF51	A2F9
ｒ	FF52	A2FA
ｓ	FF53	A2FB
ｔ	FF54	A2FC
ｕ	FF55	A2FD
ｖ	FF56	A2FE
ｗ	FF57	A340
ｘ	FF58	A341
ｙ	FF59	A342
ｚ	FF5A	A343
｛	FF5B	A161
｜	FF5C	A155
｝	FF5D	A162
～	FF5E	A1E3
￠	FFE0	A246
￡	FFE1	A247
￣	FFE3	A1C3
￥	FFE5	A244
