#Char	Unicode	Big5
万	4E07	C945
丌	4E0C	C946
与	4E0E	C94F
丏	4E0F	C94D
丮	4E2E	C950
丱	4E31	C963
丳	4E33	CBB1
丼	4E3C	C964
乂	4E42	C940
乇	4E47	C947
乜	4E5C	C941
乿	4E7F	D44B
亃	4E83	DCB1
亄	4E84	DCB2
亍	4E8D	C948
亓	4E93	C951
亶	4EB6	DCB3
亹	4EB9	F6D6
仂	4EC2	C952
仈	4EC8	C954
仉	4EC9	C953
仚	4EDA	C96A
仜	4EDC	C966
仝	4EDD	C969
仡	4EE1	C968
仨	4EE8	C965
仩	4EE9	C967
仱	4EF1	C9B0
仴	4EF4	C9BA
仵	4EF5	C9AE
价	4EF7	C9B2
伀	4F00	C9B1
伂	4F02	C9B5
伄	4F04	C9B9
伅	4F05	C9B6
伈	4F08	C9B3
伎	4F0E	C9AB
伒	4F12	C9BB
伓	4F13	C9B8
伔	4F14	C9AF
优	4F18	C9AC
伝	4F1D	C9B4
伢	4F22	C9B7
伬	4F2C	C9AD
伭	4F2D	CA66
伳	4F33	CA67
伻	4F3B	CA5B
伾	4F3E	CA60
伿	4F3F	CA68
佁	4F41	CA64
佉	4F49	CA5D
佌	4F4C	CBBD
佒	4F52	CA62
体	4F53	CA5E
佖	4F56	CA5A
佘	4F58	CA65
佟	4F5F	CA63
佡	4F61	CA69
佢	4F62	CA5C
佤	4F64	CA5F
佧	4F67	CA61
佪	4F6A	CBBF
佫	4F6B	CBCB
佮	4F6E	CBCC
佴	4F74	CBB9
佶	4F76	CBB8
佷	4F77	CBBC
佸	4F78	CBC3
佹	4F79	CBC1
佼	4F7C	CBB3
佽	4F7D	CBB5
侀	4F80	CBB6
侁	4F81	CBC2
侂	4F82	CBC9
侄	4F84	CBBB
侅	4F85	CBB4
侇	4F87	CBB7
侉	4F89	CBBA
侐	4F90	CBC4
侒	4F92	CBC8
侔	4F94	CBC6
侕	4F95	CBCA
侗	4F97	CBBE
侘	4F98	CBB2
侚	4F9A	CBC0
侜	4F9C	CBC5
侞	4F9E	CBC7
侲	4FB2	CDE0
侳	4FB3	CDE8
侹	4FB9	CDEE
侺	4FBA	CDEC
侻	4FBB	CDE7
俀	4FC0	CDED
俁	4FC1	CDE3
俅	4FC5	CDDE
俇	4FC7	CDEA
俉	4FC9	CDE1
俋	4FCB	CDE2
俍	4FCD	CDDD
俓	4FD3	CDDF
俔	4FD4	CDE4
俖	4FD6	CDEB
俙	4FD9	CDE6
俛	4FDB	CDE9
俜	4FDC	CDE5
俬	4FEC	CDEF
俴	4FF4	D0D0
俵	4FF5	D0CF
俶	4FF6	D0D4
俷	4FF7	D0D5
倅	5005	D0C9
倇	5007	D0CA
倎	500E	D0DD
倓	5013	D0CB
倕	5015	D45B
倗	5017	D0D6
倛	501B	D0CE
倜	501C	D0D7
倞	501E	D0C8
倠	5020	D0D8
倢	5022	D0CC
倧	5027	D0D9
倬	502C	D0D3
倯	502F	D0DB
倰	5030	D0CD
倱	5031	D0DC
倳	5033	D0D1
倵	5035	D0DA
倷	5037	D0D2
偀	5040	D463
偁	5041	D457
偅	5045	D45C
偆	5046	D462
偈	5048	D455
偊	504A	D459
偋	504B	D452
偍	504D	D456
偑	5051	D467
偓	5053	D451
偗	5057	D466
偛	505B	D458
偝	505D	D453
偞	505E	D44F
偟	505F	D45D
偠	5060	D450
偡	5061	D44E
偢	5062	D45A
偣	5063	D460
偤	5064	D461
偨	5068	D85B
偩	5069	D45E
偪	506A	D44D
偫	506B	D45F
偮	506E	D464
偰	5070	D44C
偲	5072	D454
偳	5073	D465
傂	5082	D85E
傃	5083	D857
傇	5087	D85F
傋	508B	D855
傌	508C	D858
傎	508E	D859
傒	5092	D85D
傔	5094	D853
傕	5095	D852
傛	509B	D851
傜	509C	D85C
傝	509D	D85A
傞	509E	D854
傣	50A3	D856
傮	50AE	DCB7
傰	50B0	DCBD
傱	50B1	DCC0
傴	50B4	DCBA
傶	50B6	DCC3
傸	50B8	DCC4
傺	50BA	DCBF
傽	50BD	DCB4
傿	50BF	DCB5
僁	50C1	DCBE
僂	50C2	DCBC
僄	50C4	DCB8
僆	50C6	DCB6
僈	50C8	DCBB
僉	50C9	DCC2
僊	50CA	DCB9
僋	50CB	DCC1
僓	50D3	E0F9
僔	50D4	E0F1
僗	50D7	E0F2
僛	50DB	E0F5
僝	50DD	E0F7
僠	50E0	E0FE
僣	50E3	E0FD
僤	50E4	E0F8
僦	50E6	E0F0
僨	50E8	E0F3
僪	50EA	E0F6
僬	50EC	E0FA
僯	50EF	E0FC
僰	50F0	E0FB
僳	50F3	E0F4
僶	50F6	E4EC
僸	50F8	E4E9
僽	50FD	E4F0
僾	50FE	E4ED
僿	50FF	E4E6
儃	5103	E4E7
儆	5106	E4EA
儇	5107	E4EB
儊	510A	E4F1
儋	510B	E4EE
儌	510C	E4EF
儑	5111	E8F8
儓	5113	E8F5
儗	5117	E8F6
儚	511A	E8F7
儜	511C	E8F4
儠	5120	ECBD
儢	5122	ECBB
儤	5124	ECBC
儥	5125	ECBA
儦	5126	ECB9
儩	5129	ECBE
儭	512D	EFB8
儮	512E	EFB9
儰	5130	E4E8
儱	5131	EFB7
儴	5134	F1EB
儵	5135	F1EC
儹	5139	F5C1
儺	513A	F5C0
儽	513D	F7D0
党	515A	D0DE
兟	515F	D860
冇	5187	C94E
冏	518F	CA6A
冓	5193	D0E0
冔	5194	D0DF
冘	5198	C955
冞	519E	CBCD
冱	51B1	C9BC
冹	51B9	CA6B
冼	51BC	CBCE
冾	51BE	CBCF
凄	51C4	D0E2
凅	51C5	D0E3
凈	51C8	D0E4
凊	51CA	D0E1
凎	51CE	D0E5
凐	51D0	D468
凔	51D4	D861
凗	51D7	DCC5
凘	51D8	E140
凞	51DE	E8F9
凵	51F5	C942
刉	5209	C9BE
刌	520C	C96B
刐	5210	C9BF
刓	5213	C9BD
刜	521C	CA6C
刞	521E	CA6D
刡	5221	CA6E
刱	5231	CBD4
刲	5232	CBD1
刳	5233	CBD2
刵	5235	CBD0
剄	5244	CDF0
剆	5246	CBD3
剉	5249	CDF1
剒	5252	D0E8
剕	5255	D0EB
剚	525A	D0E7
剞	525E	D0E9
剟	525F	D0EA
剡	5261	D0E6
剢	5262	D0EC
剫	526B	D469
剬	526C	D46B
剭	526D	D46A
