#Char	Unicode	Big5-ETEN
①	2460	C6A1
②	2461	C6A2
③	2462	C6A3
④	2463	C6A4
⑤	2464	C6A5
⑥	2465	C6A6
⑦	2466	C6A7
⑧	2467	C6A8
⑨	2468	C6A9
⑩	2469	C6AA
⑴	2474	C6AB
⑵	2475	C6AC
⑶	2476	C6AD
⑷	2477	C6AE
⑸	2478	C6AF
⑹	2479	C6B0
⑺	247A	C6B1
⑻	247B	C6B2
⑼	247C	C6B3
⑽	247D	C6B4
ⅰ	2170	C6B5
ⅱ	2171	C6B6
ⅲ	2172	C6B7
ⅳ	2173	C6B8
ⅴ	2174	C6B9
ⅵ	2175	C6BA
ⅶ	2176	C6BB
ⅷ	2177	C6BC
ⅸ	2178	C6BD
ⅹ	2179	C6BE
⼂	2F02	C6BF
⼃	2F03	C6C0
⼅	2F05	C6C1
⼇	2F07	C6C2
⼌	2F0C	C6C3
⼍	2F0D	C6C4
⼎	2F0E	C6C5
⼓	2F13	C6C6
⼖	2F16	C6C7
⼙	2F19	C6C8
⼛	2F1B	C6C9
⼢	2F22	C6CA
⼧	2F27	C6CB
⼮	2F2E	C6CC
⼳	2F33	C6CD
⼴	2F34	C6CE
⼵	2F35	C6CF
⼹	2F39	C6D0
⼺	2F3A	C6D1
⽁	2F41	C6D2
⽆	2F46	C6D3
⽧	2F67	C6D4
⽨	2F68	C6D5
⾡	2FA1	C6D6
⾪	2FAA	C6D7
¨	00A8	C6D8
ˆ	02C6	C6D9
ヽ	30FD	C6DA
ヾ	30FE	C6DB
ゝ	309D	C6DC
ゞ	309E	C6DD
	F6EE	C6DE
	F6EF	C6DF
々	3005	C6E0
〆	3006	C6E1
〇	3007	C6E2
ー	30FC	C6E3
［	FF3B	C6E4
］	FF3D	C6E5
✽	273D	C6E6
ぁ	3041	C6E7
あ	3042	C6E8
ぃ	3043	C6E9
い	3044	C6EA
ぅ	3045	C6EB
う	3046	C6EC
ぇ	3047	C6ED
え	3048	C6EE
ぉ	3049	C6EF
お	304A	C6F0
か	304B	C6F1
が	304C	C6F2
き	304D	C6F3
ぎ	304E	C6F4
く	304F	C6F5
ぐ	3050	C6F6
け	3051	C6F7
げ	3052	C6F8
こ	3053	C6F9
ご	3054	C6FA
さ	3055	C6FB
ざ	3056	C6FC
し	3057	C6FD
じ	3058	C6FE
す	3059	C740
ず	305A	C741
せ	305B	C742
ぜ	305C	C743
そ	305D	C744
ぞ	305E	C745
た	305F	C746
だ	3060	C747
ち	3061	C748
ぢ	3062	C749
っ	3063	C74A
つ	3064	C74B
づ	3065	C74C
て	3066	C74D
で	3067	C74E
と	3068	C74F
ど	3069	C750
な	306A	C751
に	306B	C752
ぬ	306C	C753
ね	306D	C754
の	306E	C755
は	306F	C756
ば	3070	C757
ぱ	3071	C758
ひ	3072	C759
び	3073	C75A
ぴ	3074	C75B
ふ	3075	C75C
ぶ	3076	C75D
ぷ	3077	C75E
へ	3078	C75F
べ	3079	C760
ぺ	307A	C761
ほ	307B	C762
ぼ	307C	C763
ぽ	307D	C764
ま	307E	C765
み	307F	C766
む	3080	C767
め	3081	C768
も	3082	C769
ゃ	3083	C76A
や	3084	C76B
ゅ	3085	C76C
ゆ	3086	C76D
ょ	3087	C76E
よ	3088	C76F
ら	3089	C770
り	308A	C771
る	308B	C772
れ	308C	C773
ろ	308D	C774
ゎ	308E	C775
わ	308F	C776
ゐ	3090	C777
ゑ	3091	C778
を	3092	C779
ん	3093	C77A
ァ	30A1	C77B
ア	30A2	C77C
ィ	30A3	C77D
イ	30A4	C77E
ゥ	30A5	C7A1
ウ	30A6	C7A2
ェ	30A7	C7A3
エ	30A8	C7A4
ォ	30A9	C7A5
オ	30AA	C7A6
カ	30AB	C7A7
ガ	30AC	C7A8
キ	30AD	C7A9
ギ	30AE	C7AA
ク	30AF	C7AB
グ	30B0	C7AC
ケ	30B1	C7AD
ゲ	30B2	C7AE
コ	30B3	C7AF
ゴ	30B4	C7B0
サ	30B5	C7B1
ザ	30B6	C7B2
シ	30B7	C7B3
ジ	30B8	C7B4
ス	30B9	C7B5
ズ	30BA	C7B6
セ	30BB	C7B7
ゼ	30BC	C7B8
ソ	30BD	C7B9
ゾ	30BE	C7BA
タ	30BF	C7BB
ダ	30C0	C7BC
チ	30C1	C7BD
ヂ	30C2	C7BE
ッ	30C3	C7BF
ツ	30C4	C7C0
ヅ	30C5	C7C1
テ	30C6	C7C2
デ	30C7	C7C3
ト	30C8	C7C4
ド	30C9	C7C5
ナ	30CA	C7C6
ニ	30CB	C7C7
ヌ	30CC	C7C8
ネ	30CD	C7C9
ノ	30CE	C7CA
ハ	30CF	C7CB
バ	30D0	C7CC
パ	30D1	C7CD
ヒ	30D2	C7CE
ビ	30D3	C7CF
ピ	30D4	C7D0
フ	30D5	C7D1
ブ	30D6	C7D2
プ	30D7	C7D3
ヘ	30D8	C7D4
ベ	30D9	C7D5
ペ	30DA	C7D6
ホ	30DB	C7D7
ボ	30DC	C7D8
ポ	30DD	C7D9
マ	30DE	C7DA
ミ	30DF	C7DB
ム	30E0	C7DC
メ	30E1	C7DD
モ	30E2	C7DE
ャ	30E3	C7DF
ヤ	30E4	C7E0
ュ	30E5	C7E1
ユ	30E6	C7E2
ョ	30E7	C7E3
ヨ	30E8	C7E4
ラ	30E9	C7E5
リ	30EA	C7E6
ル	30EB	C7E7
レ	30EC	C7E8
ロ	30ED	C7E9
ヮ	30EE	C7EA
ワ	30EF	C7EB
ヰ	30F0	C7EC
ヱ	30F1	C7ED
ヲ	30F2	C7EE
ン	30F3	C7EF
ヴ	30F4	C7F0
ヵ	30F5	C7F1
ヶ	30F6	C7F2
А	0410	C7F3
Б	0411	C7F4
В	0412	C7F5
Г	0413	C7F6
Д	0414	C7F7
Е	0415	C7F8
Ё	0401	C7F9
Ж	0416	C7FA
З	0417	C7FB
И	0418	C7FC
Й	0419	C7FD
К	041A	C7FE
Л	041B	C840
М	041C	C841
Н	041D	C842
О	041E	C843
П	041F	C844
Р	0420	C845
С	0421	C846
Т	0422	C847
У	0423	C848
Ф	0424	C849
Х	0425	C84A
Ц	0426	C84B
Ч	0427	C84C
Ш	0428	C84D
Щ	0429	C84E
Ъ	042A	C84F
Ы	042B	C850
Ь	042C	C851
Э	042D	C852
Ю	042E	C853
Я	042F	C854
а	0430	C855
б	0431	C856
в	0432	C857
г	0433	C858
д	0434	C859
е	0435	C85A
ё	0451	C85B
ж	0436	C85C
з	0437	C85D
и	0438	C85E
й	0439	C85F
к	043A	C860
л	043B	C861
м	043C	C862
н	043D	C863
о	043E	C864
п	043F	C865
р	0440	C866
с	0441	C867
т	0442	C868
у	0443	C869
ф	0444	C86A
х	0445	C86B
ц	0446	C86C
ч	0447	C86D
ш	0448	C86E
щ	0449	C86F
ъ	044A	C870
ы	044B	C871
ь	044C	C872
э	044D	C873
ю	044E	C874
я	044F	C875
⇧	21E7	C876
↸	21B8	C877
↹	21B9	C878
㇏	31CF	C879
𠃌	200CC	C87A
乚	4E5A	C87B
𠂊	2008A	C87C
刂	5202	C87D
䒑	4491	C87E
龰	9FB0	C8A1
冈	5188	C8A2
龱	9FB1	C8A3
𧘇	27607	C8A4
￢	FFE2	C8CD
￤	FFE4	C8CE
＇	FF07	C8CF
＂	FF02	C8D0
㈱	3231	C8D1
№	2116	C8D2
℡	2121	C8D3
碁	7881	F9D6
銹	92B9	F9D7
裏	88CF	F9D8
墻	58BB	F9D9
恒	6052	F9DA
粧	7CA7	F9DB
嫺	5AFA	F9DC
╔	2554	F9DD
╦	2566	F9DE
╗	2557	F9DF
╠	2560	F9E0
╬	256C	F9E1
╣	2563	F9E2
╚	255A	F9E3
╩	2569	F9E4
╝	255D	F9E5
╒	2552	F9E6
╤	2564	F9E7
╕	2555	F9E8
╘	2558	F9EC
╧	2567	F9ED
╛	255B	F9EE
╓	2553	F9EF
╥	2565	F9F0
╖	2556	F9F1
╟	255F	F9F2
╫	256B	F9F3
╢	2562	F9F4
╙	2559	F9F5
╨	2568	F9F6
╜	255C	F9F7
║	2551	F9F8
▓	2593	F9FE
