#Chars	Unicode	HKSCS
︐	FE10	GCCS
︑	FE11	GCCS
︒	FE12	GCCS
︔	FE14	GCCS
︓	FE13	GCCS
︖	FE16	GCCS
︕	FE15	GCCS
𥴠	25D20	GCCS
緖	7DD6	GCCS
者	FA5B	GCCS
芑	2F98F	GCCS
䔣	4523	GCCS
起	2F9D7	GCCS
都	FA26	GCCS
鼖	2FA1B	GCCS
𡤃	21903	GCCS
𡤄	21904	GCCS
蒕	8495	GCCS
䢴	48B4	GCCS
𣌀	23300	GCCS
𧫴	27AF4	GCCS
𥛶	256F6	GCCS
辻	8FBB	GCCS
込	8FBC	GCCS
𤦺	249BA	GCCS
𠍆	20346	GCCS
𨪚	28A9A	GCCS
𤀻	2403B	GCCS
𠱸	20C78	GCCS
𦭒	26B52	GCCS
𧘲	27632	GCCS
𤤿	2493F	GCCS
𡶐	21D90	GCCS
𣿯	23FEF	GCCS
侻	2F806	GCCS
𤔡	24521	GCCS
𦐑	26411	GCCS
𩆨	291A8	GCCS
𡾡	21FA1	GCCS
𩗩	295E9	GCCS
𨀤	28024	GCCS
𧨾	27A3E	GCCS
𣲷	23CB7	GCCS
𧿹	27FF9	GCCS
𧖣	275A3	GCCS
𤘘	24618	GCCS
𧊲	272B2	GCCS
鰮	9C2E	GCCS
牐	2F922	GCCS
僞	50DE	GCCS
包	2F829	GCCS
卿	2F832	GCCS
堟	581F	GCCS
惪	60EA	GCCS
𣇷	231F7	GCCS
𣇸	231F8	GCCS
𣆤	231A4	GCCS
𣆥	231A5	GCCS
晴	FA12	GCCS
杞	2F8DB	GCCS
𣫛	23ADB	GCCS
港	2F908	GCCS
𤅖	24156	GCCS
𤅗	24157	GCCS
煮	FA48	GCCS
瑜	2F92F	GCCS
𫪳	2BAB3	GCCS
𫳗	2BCD7	GCCS
𢯊	22BCA	GCCS
𫥷	2B977	GCCS
𬗸	2C5F8	GCCS
𬦠	2C9A0	GCCS
𢱑	22C51	GCCS
𡃇	210C7	GCCS
𪘲	2A632	GCCS
𧝞	2775E	GCCS
仾	4EFE	GCCS
勺	2F828	GCCS
𡁻	2107B	GCCS
𡃓	210D3	GCCS
𡋾	212FE	GCCS
𤟯	247EF	GCCS
𤺥	24EA5	GCCS
皀	7680	GCCS
𤽜	24F5C	GCCS
䖬	45AC	GCCS
𨆉	28189	GCCS
𫐬	2B42C	GCCS
鎺	93BA	GCCS
𧜵	27735	HKSCS-1999
𡃴	210F4	HKSCS-1999
𠰋	20C0B	HKSCS-1999
𧣈	278C8	HKSCS-1999
𦂥	260A5	HKSCS-1999
𢵌	22D4C	HKSCS-1999
𡁷	21077	HKSCS-1999
𡁯	2106F	HKSCS-1999
𢆡	221A1	HKSCS-1999
𠶖	20D96	HKSCS-1999
𢳉	22CC9	HKSCS-1999
𦠜	2681C	HKSCS-1999
𠵾	20D7E	HKSCS-1999
𠵿	20D7F	HKSCS-1999
𢱕	22C55	HKSCS-1999
𠺘	20E98	HKSCS-1999
𠼮	20F2E	HKSCS-1999
𦭐	26B50	HKSCS-1999
𢷮	22DEE	HKSCS-1999
𡀝	2101D	HKSCS-1999
𡀞	2101E	HKSCS-1999
𡃵	210F5	HKSCS-1999
𡃶	210F6	HKSCS-1999
𤾸	24FB8	HKSCS-1999
𠬍	20B0D	HKSCS-1999
𦬊	26B0A	HKSCS-1999
𢻯	22EEF	HKSCS-1999
𣲵	23CB5	HKSCS-1999
𦺙	26E99	HKSCS-1999
𣾏	23F8F	HKSCS-1999
𤳉	24CC9	HKSCS-1999
𢙺	2267A	HKSCS-1999
𦦨	269A8	HKSCS-1999
𤉋	2424B	HKSCS-1999
𢅛	2215B	HKSCS-1999
𠍿	2037F	HKSCS-1999
𪑛	2A45B	HKSCS-1999
𤧬	249EC	HKSCS-1999
𤥢	24962	HKSCS-1999
𠓗	204D7	HKSCS-1999
𠲍	20C8D	HKSCS-1999
𠾼	20FBC	HKSCS-1999
𡌶	21336	HKSCS-1999
𢫨	22AE8	HKSCS-1999
𢬎	22B0E	HKSCS-1999
𢬿	22B3F	HKSCS-1999
𢱌	22C4C	HKSCS-1999
𣪧	23AA7	HKSCS-1999
𤄙	24119	HKSCS-1999
𤜯	2472F	HKSCS-1999
𤫀	24AC0	HKSCS-1999
𤾆	24F86	HKSCS-1999
𥀬	2502C	HKSCS-1999
𥔿	2553F	HKSCS-1999
𥕞	2555E	HKSCS-1999
𥡝	2585D	HKSCS-1999
𥤃	25903	HKSCS-1999
𦄂	26102	HKSCS-1999
𦆲	261B2	HKSCS-1999
𦒄	26484	HKSCS-1999
𦒈	26488	HKSCS-1999
𦔒	26512	HKSCS-1999
𦛼	266FC	HKSCS-1999
𦡞	2685E	HKSCS-1999
𦣇	268C7	HKSCS-1999
𦤦	26926	HKSCS-1999
𦤹	26939	HKSCS-1999
𦧺	269FA	HKSCS-1999
𦨭	26A2D	HKSCS-1999
𦮝	26B9D	HKSCS-1999
𦲤	26CA4	HKSCS-1999
𦶮	26DAE	HKSCS-1999
𧊋	2728B	HKSCS-1999
𧋦	272E6	HKSCS-1999
𧧝	279DD	HKSCS-1999
𨀉	28009	HKSCS-1999
𨀣	28023	HKSCS-1999
𨁈	28048	HKSCS-1999
𨂃	28083	HKSCS-1999
𨅏	2814F	HKSCS-1999
𨦸	289B8	HKSCS-1999
𨧧	289E7	HKSCS-1999
𨧨	289E8	HKSCS-1999
𨰉	28C09	HKSCS-1999
𩓧	294E7	HKSCS-1999
𨬬	28B2C	HKSCS-1999
𦚯	266AF	HKSCS-1999
𧙕	27655	HKSCS-1999
𠹭	20E6D	HKSCS-1999
𥱊	25C4A	HKSCS-1999
𥻘	25ED8	HKSCS-1999
𥅈	25148	HKSCS-1999
𡃁	210C1	HKSCS-1999
𦢓	26893	HKSCS-1999
𡇙	211D9	HKSCS-1999
𡲢	21CA2	HKSCS-1999
𤿂	24FC2	HKSCS-1999
𠿫	20FEB	HKSCS-1999
𢶠	22DA0	HKSCS-1999
𠿭	20FED	HKSCS-1999
𡆇	21187	HKSCS-1999
𢑥	22465	HKSCS-1999
𣶶	23DB6	HKSCS-1999
𣃚	230DA	HKSCS-1999
𧂮	270AE	HKSCS-1999
𡝬	2176C	HKSCS-1999
𧅤	27164	HKSCS-1999
𦴣	26D23	HKSCS-1999
𠏼	203FC	HKSCS-1999
𣳽	23CFD	HKSCS-1999
𤤙	24919	HKSCS-1999
𤩷	24A77	HKSCS-1999
𨩚	28A5A	HKSCS-1999
咢	2F840	HKSCS-1999
𡠻	2183B	HKSCS-1999
𦅙	26159	HKSCS-1999
𣏵	233F5	HKSCS-1999
𨯂	28BC2	HKSCS-1999
𡵆	21D46	HKSCS-1999
𦻑	26ED1	HKSCS-1999
𨬭	28B2D	HKSCS-1999
𡡷	21877	HKSCS-1999
𣁾	2307E	HKSCS-1999
𡸽	21E3D	HKSCS-1999
𠎵	203B5	HKSCS-1999
𠗃	205C3	HKSCS-1999
𨬫	28B2B	HKSCS-1999
𦂃	26083	HKSCS-1999
倻	503B	HKSCS-2001
淾	6DFE	HKSCS-2001
袏	888F	HKSCS-2001
𤅎	2414E	HKSCS-2001
灷	7077	HKSCS-2001
峵	5CF5	HKSCS-2001
愢	6122	HKSCS-2001
𨨲	28A32	HKSCS-2001
辧	8FA7	HKSCS-2001
釶	91F6	HKSCS-2001
熑	7191	HKSCS-2001
朙	6719	HKSCS-2001
玺	73BA	HKSCS-2001
磤	78E4	HKSCS-2001
琂	7402	HKSCS-2001
冮	51AE	HKSCS-2001
橣	6A63	HKSCS-2001
蘏	860F	HKSCS-2001
稪	7A2A	HKSCS-2001
靕	9755	HKSCS-2001
