#Char	Unicode	Big5	Memo
§	00A7	A1B1	Sym
¨	00A8	C6D8	ETen
¯	00AF	A1C2	Sym
°	00B0	A258	Sym
±	00B1	A1D3	Sym
·	00B7	A150	Sym
×	00D7	A1D1	Sym
÷	00F7	A1D2	Sym
ˆ	02C6	C6D9	ETen
ˇ	02C7	A3BE	Sym
ˉ	02C9	A3BC	Sym
ˊ	02CA	A3BD	Sym
ˋ	02CB	A3BF	Sym
ˍ	02CD	A1C5	Sym
˙	02D9	A3BB	Sym
Α	0391	A344	Sym
Β	0392	A345	Sym
Γ	0393	A346	Sym
Δ	0394	A347	Sym
Ε	0395	A348	Sym
Ζ	0396	A349	Sym
Η	0397	A34A	Sym
Θ	0398	A34B	Sym
Ι	0399	A34C	Sym
Κ	039A	A34D	Sym
Λ	039B	A34E	Sym
Μ	039C	A34F	Sym
Ν	039D	A350	Sym
Ξ	039E	A351	Sym
Ο	039F	A352	Sym
Π	03A0	A353	Sym
Ρ	03A1	A354	Sym
Σ	03A3	A355	Sym
Τ	03A4	A356	Sym
Υ	03A5	A357	Sym
Φ	03A6	A358	Sym
Χ	03A7	A359	Sym
Ψ	03A8	A35A	Sym
Ω	03A9	A35B	Sym
α	03B1	A35C	Sym
β	03B2	A35D	Sym
γ	03B3	A35E	Sym
δ	03B4	A35F	Sym
ε	03B5	A360	Sym
ζ	03B6	A361	Sym
η	03B7	A362	Sym
θ	03B8	A363	Sym
ι	03B9	A364	Sym
κ	03BA	A365	Sym
λ	03BB	A366	Sym
μ	03BC	A367	Sym
ν	03BD	A368	Sym
ξ	03BE	A369	Sym
ο	03BF	A36A	Sym
π	03C0	A36B	Sym
ρ	03C1	A36C	Sym
σ	03C3	A36D	Sym
τ	03C4	A36E	Sym
υ	03C5	A36F	Sym
φ	03C6	A370	Sym
χ	03C7	A371	Sym
ψ	03C8	A372	Sym
ω	03C9	A373	Sym
Ё	0401	C7F9	ETen
А	0410	C7F3	ETen
Б	0411	C7F4	ETen
В	0412	C7F5	ETen
Г	0413	C7F6	ETen
Д	0414	C7F7	ETen
Е	0415	C7F8	ETen
Ж	0416	C7FA	ETen
З	0417	C7FB	ETen
И	0418	C7FC	ETen
Й	0419	C7FD	ETen
К	041A	C7FE	ETen
Л	041B	C840	ETen
М	041C	C841	ETen
Н	041D	C842	ETen
О	041E	C843	ETen
П	041F	C844	ETen
Р	0420	C845	ETen
С	0421	C846	ETen
Т	0422	C847	ETen
У	0423	C848	ETen
Ф	0424	C849	ETen
Х	0425	C84A	ETen
Ц	0426	C84B	ETen
Ч	0427	C84C	ETen
Ш	0428	C84D	ETen
Щ	0429	C84E	ETen
Ъ	042A	C84F	ETen
Ы	042B	C850	ETen
Ь	042C	C851	ETen
Э	042D	C852	ETen
Ю	042E	C853	ETen
Я	042F	C854	ETen
а	0430	C855	ETen
б	0431	C856	ETen
в	0432	C857	ETen
г	0433	C858	ETen
д	0434	C859	ETen
е	0435	C85A	ETen
ж	0436	C85C	ETen
з	0437	C85D	ETen
и	0438	C85E	ETen
й	0439	C85F	ETen
к	043A	C860	ETen
л	043B	C861	ETen
м	043C	C862	ETen
н	043D	C863	ETen
о	043E	C864	ETen
п	043F	C865	ETen
р	0440	C866	ETen
с	0441	C867	ETen
т	0442	C868	ETen
у	0443	C869	ETen
ф	0444	C86A	ETen
х	0445	C86B	ETen
ц	0446	C86C	ETen
ч	0447	C86D	ETen
ш	0448	C86E	ETen
щ	0449	C86F	ETen
ъ	044A	C870	ETen
ы	044B	C871	ETen
ь	044C	C872	ETen
э	044D	C873	ETen
ю	044E	C874	ETen
я	044F	C875	ETen
ё	0451	C85B	ETen
–	2013	A156	Sym
—	2014	A158	Sym
‘	2018	A1A5	Sym
’	2019	A1A6	Sym
“	201C	A1A7	Sym
”	201D	A1A8	Sym
‥	2025	A14C	Sym
…	2026	A14B	Sym
‧	2027	A145	Sym
′	2032	A1AC	Sym
‵	2035	A1AB	Sym
※	203B	A1B0	Sym
€	20AC	A3E1	Sym
℃	2103	A24A	Sym
℅	2105	A1C1	Sym
℉	2109	A24B	Sym
№	2116	C8D2	ETen
℡	2121	C8D3	ETen
Ⅰ	2160	A2B9	Sym
Ⅱ	2161	A2BA	Sym
Ⅲ	2162	A2BB	Sym
Ⅳ	2163	A2BC	Sym
Ⅴ	2164	A2BD	Sym
Ⅵ	2165	A2BE	Sym
Ⅶ	2166	A2BF	Sym
Ⅷ	2167	A2C0	Sym
Ⅸ	2168	A2C1	Sym
Ⅹ	2169	A2C2	Sym
ⅰ	2170	C6B5	ETen
ⅱ	2171	C6B6	ETen
ⅲ	2172	C6B7	ETen
ⅳ	2173	C6B8	ETen
ⅴ	2174	C6B9	ETen
ⅵ	2175	C6BA	ETen
ⅶ	2176	C6BB	ETen
ⅷ	2177	C6BC	ETen
ⅸ	2178	C6BD	ETen
ⅹ	2179	C6BE	ETen
←	2190	A1F6	Sym
↑	2191	A1F4	Sym
→	2192	A1F7	Sym
↓	2193	A1F5	Sym
↖	2196	A1F8	Sym
↗	2197	A1F9	Sym
↘	2198	A1FB	Sym
↙	2199	A1FA	Sym
↸	21B8	C877	ETen
↹	21B9	C878	ETen
⇧	21E7	C876	ETen
∕	2215	A241	Sym
√	221A	A1D4	Sym
∞	221E	A1DB	Sym
∟	221F	A1E8	Sym
∠	2220	A1E7	Sym
∣	2223	A1FD	Sym
∥	2225	A1FC	Sym
∩	2229	A1E4	Sym
∪	222A	A1E5	Sym
∫	222B	A1EC	Sym
∮	222E	A1ED	Sym
∴	2234	A1EF	Sym
∵	2235	A1EE	Sym
≒	2252	A1DC	Sym
≠	2260	A1DA	Sym
≡	2261	A1DD	Sym
≦	2266	A1D8	Sym
≧	2267	A1D9	Sym
⊕	2295	A1F2	Sym
⊙	2299	A1F3	Sym
⊥	22A5	A1E6	Sym
⊿	22BF	A1E9	Sym
①	2460	C6A1	ETen
②	2461	C6A2	ETen
③	2462	C6A3	ETen
④	2463	C6A4	ETen
⑤	2464	C6A5	ETen
⑥	2465	C6A6	ETen
⑦	2466	C6A7	ETen
⑧	2467	C6A8	ETen
⑨	2468	C6A9	ETen
⑩	2469	C6AA	ETen
⑴	2474	C6AB	ETen
⑵	2475	C6AC	ETen
⑶	2476	C6AD	ETen
⑷	2477	C6AE	ETen
⑸	2478	C6AF	ETen
⑹	2479	C6B0	ETen
⑺	247A	C6B1	ETen
⑻	247B	C6B2	ETen
⑼	247C	C6B3	ETen
⑽	247D	C6B4	ETen
─	2500	A277	Sym
│	2502	A278	Sym
┌	250C	A27A	Sym
┐	2510	A27B	Sym
└	2514	A27C	Sym
┘	2518	A27D	Sym
├	251C	A275	Sym
┤	2524	A274	Sym
┬	252C	A273	Sym
┴	2534	A272	Sym
┼	253C	A271	Sym
═	2550	A2A4	Sym
║	2551	F9F8	ETen
╒	2552	F9E6	ETen
╓	2553	F9EF	ETen
╔	2554	F9DD	ETen
╕	2555	F9E8	ETen
╖	2556	F9F1	ETen
╗	2557	F9DF	ETen
╘	2558	F9EC	ETen
╙	2559	F9F5	ETen
╚	255A	F9E3	ETen
╛	255B	F9EE	ETen
╜	255C	F9F7	ETen
╝	255D	F9E5	ETen
╞	255E	A2A5	Sym
╟	255F	F9F2	ETen
╠	2560	F9E0	ETen
╡	2561	A2A7	Sym
╢	2562	F9F4	ETen
╣	2563	F9E2	ETen
╤	2564	F9E7	ETen
╥	2565	F9F0	ETen
╦	2566	F9DE	ETen
╧	2567	F9ED	ETen
╨	2568	F9F6	ETen
╩	2569	F9E4	ETen
╪	256A	A2A6	Sym
╫	256B	F9F3	ETen
╬	256C	F9E1	ETen
╭	256D	A27E	Sym
╮	256E	A2A1	Sym
╯	256F	A2A3	Sym
╰	2570	A2A2	Sym
╱	2571	A2AC	Sym
╲	2572	A2AD	Sym
╳	2573	A2AE	Sym
╴	2574	A15A	Sym
▁	2581	A262	Sym
▂	2582	A263	Sym
▃	2583	A264	Sym
▄	2584	A265	Sym
▅	2585	A266	Sym
▆	2586	A267	Sym
▇	2587	A268	Sym
█	2588	A269	Sym
▉	2589	A270	Sym
▊	258A	A26F	Sym
▋	258B	A26E	Sym
▌	258C	A26D	Sym
▍	258D	A26C	Sym
▎	258E	A26B	Sym
▏	258F	A26A	Sym
▓	2593	F9FE	ETen
▔	2594	A276	Sym
▕	2595	A279	Sym
■	25A0	A1BD	Sym
□	25A1	A1BC	Sym
▲	25B2	A1B6	Sym
△	25B3	A1B5	Sym
▼	25BC	A1BF	Sym
▽	25BD	A1BE	Sym
◆	25C6	A1BB	Sym
◇	25C7	A1BA	Sym
○	25CB	A1B3	Sym
◎	25CE	A1B7	Sym
●	25CF	A1B4	Sym
◢	25E2	A2A8	Sym
◣	25E3	A2A9	Sym
◤	25E4	A2AB	Sym
◥	25E5	A2AA	Sym
★	2605	A1B9	Sym
☆	2606	A1B8	Sym
♀	2640	A1F0	Sym
♂	2642	A1F1	Sym
✽	273D	C6E6	ETen
⼂	2F02	C6BF	ETen
⼃	2F03	C6C0	ETen
⼅	2F05	C6C1	ETen
⼇	2F07	C6C2	ETen
⼌	2F0C	C6C3	ETen
⼍	2F0D	C6C4	ETen
⼎	2F0E	C6C5	ETen
⼓	2F13	C6C6	ETen
⼖	2F16	C6C7	ETen
⼙	2F19	C6C8	ETen
⼛	2F1B	C6C9	ETen
