#Char	Unicode	Big5
㐁	3401	
㑁	3441	
㓾	34FE	
㕸	3578	
㖸	35B8	
㗘	35D8	
㗱	35F1	
㘔	3614	
㘝	361D	
㜮	372E	
㝗	3757	
㝩	3769	
㧒	39D2	
㧡	39E1	
㧾	39FE	
㪐	3A90	
㬹	3B39	
㸐	3E10	
㸰	3E30	
㼓	3F13	
㾊	3F8A	
㿸	3FF8	
䀯	402F	
䀴	4034	
䁯	406F	
䃗	40D7	
䉂	4242	
䌈	4308	
䗁	45C1	
䗆	45C6	
䘆	4606	
䞚	479A	
䟓	47D3	
䟘	47D8	
䟩	47E9	
䢍	488D	
䯋	4BCB	
一	4E00	V
丁	4E01	V
七	4E03	V
丈	4E08	V
三	4E09	V
上	4E0A	V
下	4E0B	V
不	4E0D	V
丑	4E11	V
且	4E14	V
丕	4E15	V
世	4E16	V
丘	4E18	V
丙	4E19	V
丞	4E1E	V
丟	4E1F	V
並	4E26	V
个	4E2A	
中	4E2D	V
串	4E32	V
丸	4E38	V
丹	4E39	V
主	4E3B	V
久	4E45	V
么	4E48	V
之	4E4B	V
乏	4E4F	V
乒	4E52	V
乓	4E53	V
乖	4E56	V
乘	4E58	V
乙	4E59	V
乜	4E5C	V
九	4E5D	V
乞	4E5E	V
也	4E5F	V
乩	4E69	V
乳	4E73	V
乾	4E7E	V
亂	4E82	V
了	4E86	V
予	4E88	V
事	4E8B	V
二	4E8C	V
亍	4E8D	V
云	4E91	V
互	4E92	V
五	4E94	V
井	4E95	V
些	4E9B	V
亞	4E9E	V
亡	4EA1	V
亢	4EA2	V
交	4EA4	V
亥	4EA5	V
亦	4EA6	V
亨	4EA8	V
享	4EAB	V
京	4EAC	V
亭	4EAD	V
亮	4EAE	V
人	4EBA	V
亼	4EBC	
什	4EC0	V
仁	4EC1	V
仃	4EC3	V
仄	4EC4	V
仆	4EC6	V
仇	4EC7	V
今	4ECA	V
介	4ECB	V
仍	4ECD	V
仔	4ED4	V
仕	4ED5	V
他	4ED6	V
仗	4ED7	V
付	4ED8	V
仙	4ED9	V
仟	4EDF	V
代	4EE3	V
令	4EE4	V
以	4EE5	V
仰	4EF0	V
仲	4EF2	V
件	4EF6	V
任	4EFB	V
份	4EFD	V
仿	4EFF	V
企	4F01	V
伊	4F0A	V
伍	4F0D	V
伏	4F0F	V
伐	4F10	V
休	4F11	V
伕	4F15	V
伙	4F19	V
伯	4F2F	V
估	4F30	V
伴	4F34	V
伶	4F36	V
伸	4F38	V
伺	4F3A	V
似	4F3C	V
伽	4F3D	V
佃	4F43	V
但	4F46	V
佇	4F47	V
佈	4F48	V
位	4F4D	V
低	4F4E	V
住	4F4F	V
佐	4F50	V
佑	4F51	V
何	4F55	V
佗	4F57	V
余	4F59	V
佛	4F5B	V
作	4F5C	V
你	4F60	V
佢	4F62	V
佣	4F63	V
佩	4F69	V
佰	4F70	V
佳	4F73	V
併	4F75	V
使	4F7F	V
來	4F86	V
侈	4F88	V
例	4F8B	V
侍	4F8D	V
侖	4F96	V
供	4F9B	V
依	4F9D	V
侮	4FAE	V
侯	4FAF	V
侵	4FB5	V
便	4FBF	V
係	4FC2	V
促	4FC3	V
俄	4FC4	V
俊	4FCA	V
俐	4FD0	V
俗	4FD7	V
俘	4FD8	V
俚	4FDA	V
保	4FDD	V
俞	4FDE	V
俠	4FE0	V
信	4FE1	V
修	4FEE	V
俯	4FEF	V
俱	4FF1	V
俸	4FF8	V
倆	5006	V
倈	5008	
倉	5009	V
個	500B	V
倍	500D	V
們	5011	V
倒	5012	V
倔	5014	V
倖	5016	V
候	5019	V
倚	501A	V
借	501F	V
倡	5021	V
倦	5026	V
倩	5029	V
倪	502A	V
倫	502B	V
倭	502D	V
值	503C	V
假	5047	V
偉	5049	V
偎	504E	V
偏	504F	V
偕	5055	V
做	505A	V
停	505C	V
健	5065	V
側	5074	V
偵	5075	V
偶	5076	V
偷	5077	V
偽	507D	V
傀	5080	V
傅	5085	V
傍	508D	V
傑	5091	V
備	5099	V
傢	50A2	V
傪	50AA	
催	50AC	V
傲	50B2	V
