#台語教典 = 教育部《臺灣閩南語常用詞辭典》 https://twblg.dict.edu.tw/
#客語教典 = 教育部《臺灣客家語常用詞辭典》 https://hakka.dict.edu.tw/
#以上為 創用CC 姓名標示-禁止改作 3.0 授權
#非屬以上兩典，標註有「再會豆腐字」 的字，來自 https://tauhu.tw/jit-tsi/ 蒐集的結果
#Char	Unicode	Big5	Memo
㐁	3401		客語教典
㑁	3441		客語教典
㓾	34FE		客語教典
㔂	3502		台語教典
㕸	3578		客語教典
㖅	3585		再會豆腐字：客語閱讀越懂
㖸	35B8		客語教典
㗘	35D8		客語教典
㗱	35F1		客語教典
㘔	3614		客語教典
㘛	361B		再會豆腐字：台語教典附錄
㘝	361D		客語教典
㜮	372E		客語教典
㜷	3737		再會豆腐字：客語閱讀越懂
㝗	3757		客語教典
㝩	3769		客語教典
㤉	3909		台語教典
㤕	3915		再會豆腐字：客語閱讀越懂
㧁	39C1		再會豆腐字：客語閱讀越懂
㧌	39CC		台語教典
㧎	39CE		台語教典
㧒	39D2		台語教典、客語教典
㧡	39E1		客語教典
㧣	39E3		台語教典
㧻	39FB		台語教典
㧾	39FE		客語教典
㨂	3A02		台語教典
㨑	3A11		台語教典
㨨	3A28		台語教典
㨪	3A2A		再會豆腐字：台語教典附錄
㨻	3A3B		台語教典
㩆	3A46		再會豆腐字：客語閱讀越懂
㪐	3A90		客語教典
㬹	3B39		客語教典
㰵	3C35		再會豆腐字：客語教典例句
㴘	3D18		台語教典
㴙	3D19		台語教典
㷮	3DEE		台語教典
㸐	3E10		客語教典
㸰	3E30		客語教典
㼓	3F13		客語教典
㽎	3F4E		台語教典
㾀	3F80		台語教典
㾊	3F8A		客語教典
㿸	3FF8		客語教典
䀐	4010		台語教典
䀯	402F		客語教典
䀴	4034		客語教典
䁯	406F		客語教典
䃗	40D7		客語教典
䆀	4180		台語教典
䇶	41F6		再會豆腐字：客語認證詞彙
䈄	4204		台語教典
䉂	4242		客語教典
䌈	4308		客語教典
䖙	4599		台語教典
䖳	45B3		台語教典
䗁	45C1		客語教典
䗆	45C6		客語教典
䗐	45D0		再會豆腐字：客語閱讀越懂
䘆	4606		客語教典
䘥	4625		台語教典
䘼	463C		台語教典
䞚	479A		客語教典
䟓	47D3		客語教典
䟘	47D8		客語教典
䟩	47E9		客語教典
䠡	4821		台語教典
䢍	488D		客語教典
䢢	48A2		台語教典
䫌	4ACC		台語教典
䯋	4BCB		客語教典
䲅	4C85		台語教典
一	4E00	V	台語教典、客語教典
丁	4E01	V	台語教典、客語教典
七	4E03	V	台語教典、客語教典
丈	4E08	V	台語教典、客語教典
三	4E09	V	台語教典、客語教典
上	4E0A	V	台語教典、客語教典
下	4E0B	V	台語教典、客語教典
不	4E0D	V	台語教典、客語教典
丑	4E11	V	台語教典、客語教典
且	4E14	V	台語教典、客語教典
丕	4E15	V	客語教典
世	4E16	V	台語教典、客語教典
丘	4E18	V	台語教典、客語教典
丙	4E19	V	台語教典、客語教典
丞	4E1E	V	客語教典
丟	4E1F	V	台語教典、客語教典
並	4E26	V	台語教典、客語教典
个	4E2A		台語教典、客語教典
中	4E2D	V	台語教典、客語教典
串	4E32	V	台語教典、客語教典
丸	4E38	V	台語教典、客語教典
丹	4E39	V	台語教典、客語教典
主	4E3B	V	台語教典、客語教典
丼	4E3C	V	台語教典
久	4E45	V	台語教典、客語教典
么	4E48	V	台語教典、客語教典
之	4E4B	V	台語教典、客語教典
乍	4E4D	V	台語教典
乎	4E4E	V	台語教典
乏	4E4F	V	台語教典、客語教典
乒	4E52	V	客語教典
乓	4E53	V	客語教典
乖	4E56	V	台語教典、客語教典
乘	4E58	V	台語教典、客語教典
乙	4E59	V	台語教典、客語教典
乜	4E5C	V	台語教典、客語教典
九	4E5D	V	台語教典、客語教典
乞	4E5E	V	台語教典、客語教典
也	4E5F	V	台語教典、客語教典
乩	4E69	V	台語教典、客語教典
乳	4E73	V	台語教典、客語教典
乾	4E7E	V	台語教典、客語教典
亂	4E82	V	台語教典、客語教典
了	4E86	V	台語教典、客語教典
予	4E88	V	台語教典、客語教典
事	4E8B	V	台語教典、客語教典
二	4E8C	V	台語教典、客語教典
亍	4E8D	V	客語教典
云	4E91	V	台語教典、客語教典
互	4E92	V	台語教典、客語教典
五	4E94	V	台語教典、客語教典
井	4E95	V	台語教典、客語教典
