#Char	Unicode
㖭	35AD
㗎	35CE
㘭	362D
㧬	39EC
㩒	3A52
㷫	3DEB
个	4E2A
乪	4E6A
乸	4E78
冚	519A
冧	51A7
凪	51EA
劏	528F
吓	5413
吖	5416
咓	5493
咗	5497
哋	54CB
响	54CD
哣	54E3
唂	5502
唓	5513
唞	551E
唥	5525
唶	5536
唻	553B
啝	555D
啩	5569
啫	556B
啱	5571
啲	5572
喺	55BA
喼	55BC
嗌	55CC
嗰	55F0
嗱	55F1
嘅	5605
嘢	5622
嘥	5625
嘭	562D
噃	5643
噉	5649
噏	564F
嚟	569F
嚡	56A1
嚿	56BF
埞	57DE
壆	58C6
媪	5AAA
嫲	5AF2
嬅	5B05
孭	5B6D
尅	5C05
尐	5C10
怱	6031
愠	6120
慤	6164
戥	6225
抆	6286
拃	62C3
担	62C5
掟	639F
掹	63B9
揞	63DE
揦	63E6
揸	63F8
揼	63FC
揾	63FE
搣	6423
摷	6477
攞	651E
攰	6530
曱	66F1
枱	67B1
櫈	6AC8
氹	6C39
滘	6ED8
烚	70DA
燶	71F6
珏	73CF
琼	743C
甴	7534
畧	7567
疎	758E
睄	7744
瞓	7793
硤	7864
窰	7AB0
筲	7B72
糉	7CC9
糭	7CED
羗	7F97
羣	7FA3
耷	8037
脷	8137
膶	81B6
蔴	8534
衞	885E
裇	88C7
譌	8B4C
跣	8DE3
踎	8E0E
躭	8EAD
軚	8EDA
輋	8F0B
迹	8FF9
鉢	9262
鍚	935A
鎅	9385
鑛	945B
閪	95AA
韵	97F5
餸	9938
麖	9E96
麪	9EAA
鼈	9F08
龢	9FA2
𠝹	20779
𠺢	20EA2
𠻹	20EF9
𠽌	20F4C
𡁵	21075
𡁻	2107B
𡃁	210C1
𢳂	22CC2
𣲷	23CB7
𨋢	282E2
