#Char	Unicode
〃	3003
々	3005
〆	3006
〒	3012
〝	301D
〞	301E
ぁ	3041
あ	3042
ぃ	3043
い	3044
ぅ	3045
う	3046
ぇ	3047
え	3048
ぉ	3049
お	304A
か	304B
が	304C
き	304D
ぎ	304E
く	304F
ぐ	3050
け	3051
げ	3052
こ	3053
ご	3054
さ	3055
ざ	3056
し	3057
じ	3058
す	3059
ず	305A
せ	305B
ぜ	305C
そ	305D
ぞ	305E
た	305F
だ	3060
ち	3061
ぢ	3062
っ	3063
つ	3064
づ	3065
て	3066
で	3067
と	3068
ど	3069
な	306A
に	306B
ぬ	306C
ね	306D
の	306E
は	306F
ば	3070
ぱ	3071
ひ	3072
び	3073
ぴ	3074
ふ	3075
ぶ	3076
ぷ	3077
へ	3078
べ	3079
ぺ	307A
ほ	307B
ぼ	307C
ぽ	307D
ま	307E
み	307F
む	3080
め	3081
も	3082
ゃ	3083
や	3084
ゅ	3085
ゆ	3086
ょ	3087
よ	3088
ら	3089
り	308A
る	308B
れ	308C
ろ	308D
ゎ	308E
わ	308F
ゐ	3090
ゑ	3091
を	3092
ん	3093
ゔ	3094
ゝ	309D
ゞ	309E
ァ	30A1
ア	30A2
ィ	30A3
イ	30A4
ゥ	30A5
ウ	30A6
ェ	30A7
エ	30A8
ォ	30A9
オ	30AA
カ	30AB
ガ	30AC
キ	30AD
ギ	30AE
ク	30AF
グ	30B0
ケ	30B1
ゲ	30B2
コ	30B3
ゴ	30B4
サ	30B5
ザ	30B6
シ	30B7
ジ	30B8
ス	30B9
ズ	30BA
セ	30BB
ゼ	30BC
ソ	30BD
ゾ	30BE
タ	30BF
ダ	30C0
チ	30C1
ヂ	30C2
ッ	30C3
ツ	30C4
ヅ	30C5
テ	30C6
デ	30C7
ト	30C8
ド	30C9
ナ	30CA
ニ	30CB
ヌ	30CC
ネ	30CD
ノ	30CE
ハ	30CF
バ	30D0
パ	30D1
ヒ	30D2
ビ	30D3
ピ	30D4
フ	30D5
ブ	30D6
プ	30D7
ヘ	30D8
ベ	30D9
ペ	30DA
ホ	30DB
ボ	30DC
ポ	30DD
マ	30DE
ミ	30DF
ム	30E0
メ	30E1
モ	30E2
ャ	30E3
ヤ	30E4
ュ	30E5
ユ	30E6
ョ	30E7
ヨ	30E8
ラ	30E9
リ	30EA
ル	30EB
レ	30EC
ロ	30ED
ヮ	30EE
ワ	30EF
ヰ	30F0
ヱ	30F1
ヲ	30F2
ン	30F3
ヴ	30F4
ヵ	30F5
ヶ	30F6
・	30FB
ー	30FC
ヽ	30FD
㈱	3231
㐂	3402
両	4E21
乗	4E57
乱	4E71
亀	4E80
争	4E89
亜	4E9C
仏	4ECF
仮	4EEE
会	4F1A
侠	4FA0
価	4FA1
侭	4FAD
値	5024
倶	5036
倹	5039
働	50CD
僞	50DE
儚	511A
兎	514E
児	5150
内	5185
写	5199
冨	51A8
冴	51B4
凉	51C9
凛	51DB
処	51E6
凧	51E7
凪	51EA
刹	5239
剣	5263
剤	5264
剥	5265
剰	5270
励	52B1
労	52B4
効	52B9
勅	52C5
勧	52E7
勲	52F2
匁	5301
匂	5302
区	533A
医	533B
単	5358
却	5374
卽	537D
厠	53A0
厨	53A8
厩	53A9
厳	53B3
参	53C2
収	53CE
叙	53D9
号	53F7
呉	5449
呑	5451
呪	546A
唖	5516
喩	55A9
喰	55B0
営	55B6
嘘	5618
嘱	5631
噂	5642
噛	565B
噺	567A
嚢	56A2
囃	56C3
団	56E3
囲	56F2
図	56F3
国	56FD
圏	570F
圧	5727
堕	5815
堺	583A
塀	5840
塁	5841
塙	5859
塡	5861
塩	5869
増	5897
壊	58CA
壌	58CC
壮	58EE
声	58F0
壱	58F1
売	58F2
壷	58F7
変	5909
奥	5965
奨	5968
奬	596C
妬	59AC
姉	59C9
姫	59EB
姶	59F6
娯	5A2F
嬢	5B22
学	5B66
宍	5B8D
宝	5B9D
実	5B9F
寛	5BDB
寝	5BDD
対	5BFE
寿	5BFF
専	5C02
将	5C06
尭	5C2D
尽	5C3D
届	5C4A
屓	5C53
属	5C5E
屡	5C61
岨	5CA8
峠	5CE0
峡	5CE1
嵜	5D5C
嶋	5D8B
嶌	5D8C
巌	5DCC
巣	5DE3
巻	5DFB
帯	5E2F
帰	5E30
庁	5E81
広	5E83
廃	5EC3
廻	5EFB
廼	5EFC
弐	5F10
弥	5F25
弾	5F3E
当	5F53
彦	5F66
径	5F84
従	5F93
徳	5FB3
徴	5FB4
応	5FDC
恋	604B
恵	6075
悦	60A6
悩	60A9
悪	60AA
惣	60E3
惧	60E7
惨	60E8
愼	613C
懐	61D0
戦	6226
戯	622F
戸	6238
戻	623B
払	6255
抜	629C
択	629E
担	62C5
拝	62DD
拠	62E0
拡	62E1
拶	62F6
挙	6319
挟	631F
挿	633F
捗	6357
捜	635C
掟	639F
掲	63B2
掴	63B4
掻	63BB
揃	63C3
揺	63FA
携	643A
摂	6442
撃	6483
撹	64B9
擽	64FD
敍	654D
数	6570
斉	6589
斎	658E
断	65AD
旧	65E7
昼	663C
晄	6644
晋	664B
晩	6669
暁	6681
暦	66A6
曽	66FD
条	6761
杢	6762
来	6765
枠	67A0
枡	67A1
枢	67A2
査	67FB
柾	67FE
栂	6802
栃	6803
栄	6804
栞	681E
栴	6834
桜	685C
桝	685D
桟	685F
桧	6867
梛	689B
梶	68B6
梼	68BC
椀	6900
椙	6919
椛	691B
検	691C
椴	6934
楕	6955
楯	696F
楳	6973
楼	697C
楽	697D
榊	698A
槇	69C7
様	69D8
樋	6A0B
樗	6A17
権	6A29
横	6A2A
樫	6A2B
橿	6A7F
欅	6B05
欝	6B1D
欧	6B27
歓	6B53
歩	6B69
歯	6B6F
歳	6B73
歴	6B74
残	6B8B
殴	6BB4
殻	6BBB
毎	6BCE
気	6C17
氷	6C37
汚	6C5A
没	6CA1
沢	6CA2
泪	6CEA
浄	6D44
浅	6D45
浜	6D5C
涙	6D99
涛	6D9B
涜	6D9C
渇	6E07
済	6E08
渉	6E09
渊	6E0A
渋	6E0B
渓	6E13
渕	6E15
湾	6E7E
湿	6E7F
満	6E80
溌	6E8C
滝	6EDD
滞	6EDE
潅	6F45
潜	6F5C
澁	6F81
瀦	7026
瀬	702C
灯	706F
炉	7089
点	70B9
焔	7114
焼	713C
燗	71D7
爲	7232
犠	72A0
状	72B6
狛	72DB
独	72EC
狭	72ED
猟	731F
猪	732A
猫	732B
献	732E
獏	734F
獣	7363
瑶	7476
甑	7511
産	7523
画	753B
畠	7560
畳	7573
畷	7577
疎	758E
痩	75E9
発	767A
皐	7690
盗	76D7
県	770C
眞	771E
睾	777E
砕	7815
砺	783A
砿	783F
硲	7872
碍	788D
碕	7895
礼	793C
祷	7977
禄	7984
禅	7985
禊	798A
称	79F0
税	7A0E
稙	7A19
稲	7A32
穂	7A42
穏	7A4F
穐	7A50
穣	7A63
穰	7A70
窃	7A83
窓	7A93
竃	7AC3
竜	7ADC
竪	7AEA
笥	7B25
笹	7B39
筅	7B45
筈	7B48
箆	7B86
箪	7BAA
篭	7BED
簀	7C00
籾	7C7E
粁	7C81
粂	7C82
粋	7C8B
粍	7C8D
粛	7C9B
糀	7CC0
糎	7CCE
経	7D4C
絵	7D75
絶	7D76
継	7D99
続	7D9A
総	7DCF
緑	7DD1
緖	7DD6
縁	7E01
縄	7E04
縦	7E26
繊	7E4A
繋	7E4B
繍	7E4D
罠	7F60
聡	8061
聴	8074
胆	80C6
脇	8107
脚	811A
脱	8131
脳	8133
膣	81A3
膵	81B5
臓	81D3
舎	820E
舗	8217
舩	8229
艶	8276
芦	82A6
苅	82C5
茎	830E
荘	8358
莱	83B1
萠	8420
葎	844E
蒋	848B
蔀	8500
蔵	8535
蕗	8557
薗	8597
薫	85AB
薬	85AC
薮	85AE
藁	85C1
虚	865A
蛍	86CD
蛎	86CE
蛮	86EE
蛯	86EF
蝉	8749
蝋	874B
蝿	877F
衆	8846
衞	885E
袴	88B4
袷	88B7
装	88C5
裾	88FE
覇	8987
覗	8997
覚	899A
覧	89A7
観	89B3
訳	8A33
詑	8A51
誂	8A82
誉	8A89
説	8AAC
読	8AAD
諌	8ACC
謡	8B21
譲	8B72
讃	8B83
讐	8B90
貰	8CB0
賎	8CCE
賛	8CDB
贄	8D04
贋	8D0B
践	8DF5
躯	8EAF
躾	8EBE
転	8EE2
軽	8EFD
輌	8F0C
轢	8F62
辞	8F9E
辺	8FBA
辻	8FBB
込	8FBC
辿	8FBF
迩	8FE9
逓	9013
遅	9045
遡	9061
遥	9065
邉	9089
郞	90DE
郷	90F7
酔	9154
醗	9197
醤	91A4
醸	91B8
釈	91C8
鉄	9244
鉢	9262
鉱	9271
鉾	927E
銭	92AD
鋭	92ED
鋲	92F2
鋳	92F3
錆	9306
錬	932C
録	9332
錺	933A
鍮	936E
鎭	93AD
鑓	9453
関	95A2
閲	95B2
闘	95D8
陥	9665
険	967A
随	968F
隠	96A0
隣	96A3
隷	96B7
雑	96D1
雫	96EB
霊	970A
静	9759
靭	976D
鞄	9784
韮	97EE
頚	981A
頬	982C
頴	9834
頼	983C
顔	9854
顕	9855
顚	985A
飜	98DC
饂	9942
駄	99C4
駅	99C5
駆	99C6
駈	99C8
騒	9A12
験	9A13
騨	9A28
髄	9AC4
髙	9AD9
髪	9AEA
鮎	9B8E
鮓	9B93
鮹	9BB9
鯑	9BD1
鯱	9BF1
鯵	9BF5
鰊	9C0A
鰐	9C10
鰯	9C2F
鰰	9C30
鰺	9C3A
鱆	9C46
鱚	9C5A
鱠	9C60
鱶	9C76
鴎	9D0E
鴫	9D2B
鴬	9D2C
鶏	9D8F
鷄	9DC4
鹸	9E78
麦	9EA6
麹	9EB9
麺	9EBA
麿	9EBF
黄	9EC4
黒	9ED2
黙	9ED9
齢	9F62
𠮟	20B9F
