#Char	Unicode
㚬	36AC
㛄	36C4
㛢	36E2
㨗	3A17
㶈	3D88
㷍	3DCD
㼈	3F08
䕒	4552
䭲	4B72
丏	4E0F
亷	4EB7
亹	4EB9
仂	4EC2
仉	4EC9
仡	4EE1
仱	4EF1
伈	4F08
众	4F17
伻	4F3B
佁	4F41
佧	4F67
佴	4F74
侊	4F8A
侒	4F92
侞	4F9E
侹	4FB9
俁	4FC1
俍	4FCD
俽	4FFD
倛	501B
倞	501E
倧	5027
偟	505F
傛	509B
儁	5101
儇	5107
儫	512B
兪	516A
冄	5184
况	51B5
凈	51C8
凊	51CA
劦	52A6
効	52B9
勅	52C5
勍	52CD
勐	52D0
勖	52D6
勲	52F2
卬	536C
卲	5372
厦	53A6
叙	53D9
咅	5485
咘	5498
哿	54FF
喭	55AD
嘏	560F
嘒	5612
嘪	562A
嚞	569E
嚳	56B3
囷	56F7
圡	5721
圩	5729
坣	5763
垚	579A
埏	57CF
堺	583A
塍	584D
塏	584F
塤	5864
塩	5869
塲	5872
夆	5906
妗	5997
妡	59A1
妦	59A6
妧	59A7
姁	59C1
姃	59C3
姈	59C8
姉	59C9
姎	59CE
姤	59E4
姫	59EB
姳	59F3
姸	59F8
娗	5A17
娪	5A2A
娳	5A33
娸	5A38
婌	5A4C
婍	5A4D
婗	5A57
婞	5A5E
婣	5A63
婧	5A67
媁	5A81
媃	5A83
媄	5A84
媐	5A90
媓	5A93
媖	5A96
媮	5AAE
媺	5ABA
嫃	5AC3
嫄	5AC4
嫆	5AC6
嫈	5AC8
嫐	5AD0
嫕	5AD5
嫙	5AD9
嫥	5AE5
嬃	5B03
嬅	5B05
嬑	5B11
嬙	5B19
嬣	5B23
嬨	5B28
嬫	5B2B
嬭	5B2D
孆	5B46
孋	5B4B
孍	5B4D
宬	5BAC
宭	5BAD
寀	5BC0
寗	5BD7
寘	5BD8
寯	5BEF
寳	5BF3
尛	5C1B
岍	5C8D
岢	5CA2
岦	5CA6
峠	5CE0
峮	5CEE
峱	5CF1
峵	5CF5
崋	5D0B
崐	5D10
崟	5D1F
崠	5D20
崡	5D21
嵂	5D42
嵊	5D4A
嵎	5D4E
嵵	5D75
嶢	5DA2
嶧	5DA7
帟	5E1F
庒	5E92
廼	5EFC
弍	5F0D
弢	5F22
强	5F3A
彡	5F61
彦	5F66
忞	5FDE
悊	608A
悧	60A7
悰	60B0
惪	60EA
惲	60F2
愔	6114
愽	613D
憓	6193
憙	6199
戩	6229
拕	62D5
捃	6343
敍	654D
敻	657B
斈	6588
斳	65B3
旃	65C3
旆	65C6
昜	661C
昝	661D
昫	662B
昰	6630
昺	663A
晅	6645
晊	664A
晋	664B
晙	6659
晛	665B
晧	6667
晸	6678
暎	668E
暟	669F
暠	66A0
暵	66B5
暻	66BB
暾	66BE
曈	66C8
曌	66CC
曏	66CF
曛	66DB
曣	66E3
朶	6736
杕	6755
枰	67B0
枻	67BB
柜	67DC
栃	6803
栴	6834
桾	687E
梣	68A3
棊	68CA
棓	68D3
棖	68D6
棡	68E1
棼	68FC
椀	6900
椈	6908
椉	6909
椲	6932
楀	6940
楗	6957
楙	6959
楟	695F
楦	6966
楴	6974
榤	69A4
榿	69BF
槑	69D1
槶	69F6
槺	69FA
樘	6A18
横	6A2A
樫	6A2B
樾	6A3E
橞	6A5E
橦	6A66
橿	6A7F
檉	6A89
檍	6A8D
檥	6AA5
櫳	6AF3
欐	6B10
欝	6B1D
欹	6B39
毖	6BD6
氹	6C39
汘	6C58
汜	6C5C
汯	6C6F
沄	6C84
沇	6C87
沚	6C9A
沭	6CAD
沺	6CBA
泂	6CC2
泑	6CD1
泔	6CD4
泙	6CD9
洧	6D27
洹	6D39
洺	6D3A
浜	6D5C
浡	6D61
浤	6D64
浲	6D72
浿	6D7F
涒	6D92
涪	6DAA
涴	6DB4
淂	6DC2
淥	6DE5
淯	6DEF
湉	6E49
湋	6E4B
湑	6E51
湜	6E5C
湞	6E5E
湫	6E6B
湶	6E76
溎	6E8E
溦	6EA6
滙	6ED9
潓	6F53
潞	6F5E
潣	6F63
潾	6F7E
澐	6F90
澠	6FA0
澴	6FB4
瀠	7020
灃	7043
灧	7067
灯	706F
炘	7098
烋	70CB
烜	70DC
烝	70DD
烱	70F1
焄	7104
焌	710C
煋	714B
煚	715A
熀	7180
熲	71B2
燊	71CA
犂	7282
猋	730B
猗	7317
献	732E
玅	7385
玎	738E
玓	7393
玕	7395
玗	7397
玘	7398
玢	73A2
玴	73B4
玶	73B6
玹	73B9
玿	73BF
珆	73C6
珏	73CF
珒	73D2
珓	73D3
珖	73D6
珙	73D9
珝	73DD
珦	73E6
珧	73E7
珳	73F3
珵	73F5
琁	7401
琄	7404
琡	7421
琣	7423
琤	7424
琩	7429
琹	7439
琼	743C
瑂	7442
瑈	7448
瑒	7452
瑝	745D
瑧	7467
瑨	7468
瑮	746E
瑲	7472
瑺	747A
瑽	747D
璆	7486
璈	7488
璊	748A
璠	74A0
璥	74A5
璵	74B5
璸	74B8
璻	74BB
瓅	74C5
瓈	74C8
瓌	74CC
瓘	74D8
瓛	74DB
瓴	74F4
甡	7521
畇	7547
畊	754A
畛	755B
畬	756C
畹	7579
皜	769C
皞	769E
眙	7719
眞	771E
眭	772D
睆	7746
睎	774E
矞	77DE
砡	7821
硘	7858
硦	7866
碕	7895
磘	78D8
祜	795C
祤	7964
禇	7987
禑	7991
禔	7994
禤	79A4
种	79CD
秜	79DC
秝	79DD
秬	79EC
稘	7A18
穰	7A70
竝	7ADD
竪	7AEA
竫	7AEB
笭	7B2D
笳	7B33
筎	7B4E
筳	7B73
箂	7B82
箐	7B90
篪	7BEA
籙	7C59
粢	7CA2
粮	7CAE
絪	7D6A
綝	7D9D
綦	7DA6
綪	7DAA
綮	7DAE
緁	7DC1
緗	7DD7
縕	7E15
縢	7E22
縯	7E2F
繐	7E50
羑	7F91
羣	7FA3
翃	7FC3
翾	7FFE
脇	8107
脚	811A
舲	8232
舳	8233
艫	826B
艿	827F
芠	82A0
芪	82AA
苾	82FE
茀	8300
茿	833F
荑	8351
荺	837A
莅	8385
莙	8399
莛	839B
莯	83AF
菉	83C9
菏	83CF
萓	8413
萲	8432
葇	8447
葑	8451
葒	8452
蒍	848D
蒓	8493
蒝	849D
蔴	8534
蕓	8553
蕣	8563
蕥	8565
薀	8580
薆	8586
薌	858C
薐	8590
薳	85B3
薷	85B7
薾	85BE
蘄	8604
蘐	8610
蘩	8629
虢	8662
蠲	8832
衎	884E
衞	885E
褘	8918
襦	8966
詅	8A45
誾	8ABE
諠	8AE0
諪	8AEA
諴	8AF4
謚	8B1A
謦	8B26
譓	8B53
譔	8B54
譿	8B7F
讌	8B8C
豑	8C51
貺	8CBA
賾	8CFE
贄	8D04
贇	8D07
赮	8D6E
辳	8FB3
逄	9004
逤	9024
邠	90A0
邡	90A1
邴	90B4
郅	90C5
郇	90C7
郜	90DC
郿	90FF
鄖	9116
釔	91D4
釤	91E4
鈁	9201
鈅	9205
鈊	920A
鈜	921C
鈤	9224
鈮	922E
鈱	9231
鈵	9235
鉌	924C
鉎	924E
鉝	925D
鉯	926F
鉷	9277
銍	928D
銧	92A7
銪	92AA
鋆	92C6
鋊	92CA
鋑	92D1
鋕	92D5
鋗	92D7
鋙	92D9
鋮	92EE
錂	9302
錆	9306
錇	9307
錏	930F
錝	931D
錤	9324
錥	9325
錩	9329
錪	932A
錱	9331
錼	933C
鍇	9347
鍈	9348
鍌	934C
鍏	934F
鍗	9357
鍚	935A
鍠	9360
鍱	9371
鍹	9379
鎛	939B
鎡	93A1
鎣	93A3
鏄	93C4
鏇	93C7
鏌	93CC
鏵	93F5
鏸	93F8
鏹	93F9
鐈	9408
鐏	940F
鐠	9420
鐤	9424
鐽	943D
鐿	943F
鑀	9440
鑌	944C
鑛	945B
鑶	9476
閆	9586
関	95A2
閶	95B6
闓	95D3
闘	95D8
闞	95DE
隃	9683
隗	9697
隽	96BD
雱	96F1
霂	9702
靆	9746
靉	9749
靝	975D
韙	97D9
韞	97DE
韡	97E1
韵	97F5
頎	980E
頴	9834
顒	9852
顔	9854
顗	9857
馡	99A1
駅	99C5
駸	99F8
騂	9A02
騋	9A0B
驄	9A44
驎	9A4E
驒	9A52
驩	9A69
驫	9A6B
髙	9AD9
鬈	9B08
鬘	9B18
鬪	9B2A
鬮	9B2E
鱻	9C7B
鴈	9D08
鵟	9D5F
鶿	9DBF
鷄	9DC4
鷰	9DF0
鸕	9E15
黄	9EC4
龎	9F8E
龘	9F98
龠	9FA0
龢	9FA2
𡟚	217DA
𡩋	21A4B
𤧟	249DF
𥕢	25562
𦰡	26C21
𧃽	270FD
𩻸	29EF8
