#Char	Unicode
Α	0391
Β	0392
Γ	0393
Δ	0394
Ε	0395
Ζ	0396
Η	0397
Θ	0398
Ι	0399
Κ	039A
Λ	039B
Μ	039C
Ν	039D
Ξ	039E
Ο	039F
Π	03A0
Ρ	03A1
Σ	03A3
Τ	03A4
Υ	03A5
Φ	03A6
Χ	03A7
Ψ	03A8
Ω	03A9
α	03B1
β	03B2
γ	03B3
δ	03B4
ε	03B5
ζ	03B6
η	03B7
θ	03B8
ι	03B9
κ	03BA
λ	03BB
μ	03BC
ν	03BD
ξ	03BE
ο	03BF
π	03C0
ρ	03C1
σ	03C3
τ	03C4
υ	03C5
φ	03C6
χ	03C7
ψ	03C8
ω	03C9
∣	2223
⑴	2474
⑵	2475
⑶	2476
⑷	2477
⑸	2478
⑹	2479
⑺	247A
⑻	247B
⑼	247C
⑽	247D
⑾	247E
⑿	247F
⒀	2480
⒁	2481
⒂	2482
⒃	2483
⒄	2484
⒅	2485
⒆	2486
⒇	2487
⒜	249C
⒝	249D
⒞	249E
⒟	249F
⒠	24A0
⒡	24A1
⒢	24A2
⒣	24A3
⒤	24A4
⒥	24A5
⒦	24A6
⒧	24A7
⒨	24A8
⒩	24A9
⒪	24AA
⒫	24AB
⒬	24AC
⒭	24AD
⒮	24AE
⒯	24AF
⒰	24B0
⒱	24B1
⒲	24B2
⒳	24B3
⒴	24B4
⒵	24B5
Ⓐ	24B6
Ⓑ	24B7
Ⓒ	24B8
Ⓓ	24B9
Ⓔ	24BA
Ⓕ	24BB
Ⓖ	24BC
Ⓗ	24BD
Ⓘ	24BE
Ⓙ	24BF
Ⓚ	24C0
Ⓛ	24C1
Ⓜ	24C2
Ⓝ	24C3
Ⓞ	24C4
Ⓟ	24C5
Ⓠ	24C6
Ⓡ	24C7
Ⓢ	24C8
Ⓣ	24C9
Ⓤ	24CA
Ⓥ	24CB
Ⓦ	24CC
Ⓧ	24CD
Ⓨ	24CE
Ⓩ	24CF
ⓐ	24D0
ⓑ	24D1
ⓒ	24D2
ⓓ	24D3
ⓔ	24D4
ⓕ	24D5
ⓖ	24D6
ⓗ	24D7
ⓘ	24D8
ⓙ	24D9
ⓚ	24DA
ⓛ	24DB
ⓜ	24DC
ⓝ	24DD
ⓞ	24DE
ⓟ	24DF
ⓠ	24E0
ⓡ	24E1
ⓢ	24E2
ⓣ	24E3
ⓤ	24E4
ⓥ	24E5
ⓦ	24E6
ⓧ	24E7
ⓨ	24E8
ⓩ	24E9
⓪	24EA
║	2551
╔	2554
╗	2557
╚	255A
╝	255D
╞	255E
╠	2560
╡	2561
╣	2563
╦	2566
╩	2569
╪	256A
╬	256C
╭	256D
╮	256E
╯	256F
╰	2570
▁	2581
▂	2582
▃	2583
▄	2584
▅	2585
▆	2586
▇	2587
█	2588
▉	2589
▊	258A
▋	258B
▌	258C
▍	258D
▎	258E
▏	258F
▔	2594
▕	2595
✽	273D
〡	3021
〢	3022
〣	3023
〤	3024
〥	3025
〦	3026
〧	3027
〨	3028
〩	3029
ㄪ	312A
ㄫ	312B
ㄬ	312C
ㄭ	312D
ㆠ	31A0
ㆡ	31A1
ㆢ	31A2
ㆣ	31A3
ㆤ	31A4
ㆥ	31A5
ㆦ	31A6
ㆧ	31A7
ㆨ	31A8
ㆩ	31A9
ㆪ	31AA
ㆫ	31AB
ㆬ	31AC
ㆭ	31AD
ㆮ	31AE
ㆯ	31AF
ㆰ	31B0
ㆱ	31B1
ㆲ	31B2
ㆳ	31B3
ㆴ	31B4
ㆵ	31B5
ㆷ	31B7
ㆻ	31BB
🄐	1F110
🄑	1F111
🄒	1F112
🄓	1F113
🄔	1F114
🄕	1F115
🄖	1F116
🄗	1F117
🄘	1F118
🄙	1F119
🄚	1F11A
🄛	1F11B
🄜	1F11C
🄝	1F11D
🄞	1F11E
🄟	1F11F
🄠	1F120
🄡	1F121
🄢	1F122
🄣	1F123
🄤	1F124
🄥	1F125
🄦	1F126
🄧	1F127
🄨	1F128
🄩	1F129
‼	203C
⁇	2047
⁈	2048
⁉	2049
⸺	2E3A
｡	FF61
｢	FF62
｣	FF63
､	FF64
･	FF65
ｦ	FF66
ｧ	FF67
ｨ	FF68
ｩ	FF69
ｪ	FF6A
ｫ	FF6B
ｬ	FF6C
ｭ	FF6D
ｮ	FF6E
ｯ	FF6F
ｰ	FF70
ｱ	FF71
ｲ	FF72
ｳ	FF73
ｴ	FF74
ｵ	FF75
ｶ	FF76
ｷ	FF77
ｸ	FF78
ｹ	FF79
ｺ	FF7A
ｻ	FF7B
ｼ	FF7C
ｽ	FF7D
ｾ	FF7E
ｿ	FF7F
ﾀ	FF80
ﾁ	FF81
ﾂ	FF82
ﾃ	FF83
ﾄ	FF84
ﾅ	FF85
ﾆ	FF86
ﾇ	FF87
ﾈ	FF88
ﾉ	FF89
ﾊ	FF8A
ﾋ	FF8B
ﾌ	FF8C
ﾍ	FF8D
ﾎ	FF8E
ﾏ	FF8F
ﾐ	FF90
ﾑ	FF91
ﾒ	FF92
ﾓ	FF93
ﾔ	FF94
ﾕ	FF95
ﾖ	FF96
ﾗ	FF97
ﾘ	FF98
ﾙ	FF99
ﾚ	FF9A
ﾛ	FF9B
ﾜ	FF9C
ﾝ	FF9D
ﾞ	FF9E
ﾟ	FF9F
¹	00B9
²	00B2
³	00B3
⁴	2074
⁵	2075
⁶	2076
⁷	2077
⁸	2078
⁹	2079
⁰	2070
₁	2081
₂	2082
₃	2083
₄	2084
₅	2085
₆	2086
₇	2087
₈	2088
₉	2089
₀	2080
