#Char	Unicode
À	00C0
Á	00C1
Â	00C2
È	00C8
É	00C9
Ê	00CA
Ì	00CC
Í	00CD
Î	00CE
Ò	00D2
Ó	00D3
Ô	00D4
Ù	00D9
Ú	00DA
Û	00DB
à	00E0
á	00E1
â	00E2
è	00E8
é	00E9
ê	00EA
ì	00EC
í	00ED
î	00EE
ò	00F2
ó	00F3
ô	00F4
ù	00F9
ú	00FA
û	00FB
Ā	0100
ā	0101
Ă	0102
ă	0103
Ē	0112
ē	0113
Ĕ	0114
ĕ	0115
Ě	011A
ě	011B
Ī	012A
ī	012B
Ĭ	012C
ĭ	012D
Ń	0143
ń	0144
Ō	014C
ō	014D
Ŏ	014E
ŏ	014F
Ő	0150
ő	0151
Ū	016A
ū	016B
Ŭ	016C
ŭ	016D
Ű	0170
ű	0171
Ɨ	0197
Ǎ	01CD
ǎ	01CE
Ǐ	01CF
ǐ	01D0
Ǒ	01D1
ǒ	01D2
Ǔ	01D3
ǔ	01D4
Ǹ	01F8
ǹ	01F9
Ʉ	0244
ɨ	0268
ʉ	0289
ˆ	02C6
̀	0300
̂	0302
̄	0304
̆	0306
̋	030B
̌	030C
̍	030D
͘	0358
Ḿ	1E3E
ḿ	1E3F
Ṟ	1E5E
ṟ	1E5F
⁺	207A
ⁿ	207F
ᴺ	1D3A
ʼ	02BC
⌃	2303
㐁	3401
㑁	3441
㓾	34FE
㔂	3502
㕸	3578
㖅	3585
㖸	35B8
㗘	35D8
㗱	35F1
㘔	3614
㘛	361B
㘝	361D
㜮	372E
㜷	3737
㝗	3757
㝩	3769
㤉	3909
㤕	3915
㧁	39C1
㧌	39CC
㧎	39CE
㧒	39D2
㧡	39E1
㧣	39E3
㧻	39FB
㧾	39FE
㨂	3A02
㨑	3A11
㨨	3A28
㨪	3A2A
㨻	3A3B
㩆	3A46
㪐	3A90
㬹	3B39
㰵	3C35
㴘	3D18
㴙	3D19
㷮	3DEE
㸐	3E10
㸰	3E30
㼓	3F13
㽎	3F4E
㾀	3F80
㾊	3F8A
㿸	3FF8
䀐	4010
䀯	402F
䀴	4034
䁯	406F
䃗	40D7
䆀	4180
䇶	41F6
䈄	4204
䉂	4242
䌈	4308
䖙	4599
䖳	45B3
䗁	45C1
䗆	45C6
䗐	45D0
䘆	4606
䘥	4625
䘼	463C
䞚	479A
䟓	47D3
䟘	47D8
䟩	47E9
䠡	4821
䢍	488D
䢢	48A2
䫌	4ACC
䯋	4BCB
䲅	4C85
个	4E2A
亍	4E8D
亼	4EBC
伨	4F28
伻	4F3B
佮	4F6E
侹	4FB9
俍	4FCD
倈	5008
倯	502F
倲	5032
偝	505D
傪	50AA
傱	50B1
僆	50C6
僫	50EB
儑	5111
儱	5131
凊	51CA
凴	51F4
刐	5210
刓	5213
刜	521C
刣	5223
剺	527A
剾	527E
劌	528C
勍	52CD
勥	52E5
勼	52FC
匧	5327
匼	533C
卌	534C
却	5374
叹	53F9
吂	5402
吓	5413
呧	5467
呲	5472
呴	5474
呾	547E
咇	5487
咍	548D
哊	54CA
哯	54EF
哱	54F1
哹	54F9
唅	5505
唊	550A
唌	550C
唩	5529
唶	5536
唿	553F
啉	5549
啲	5572
喈	5588
喌	558C
喑	5591
喓	5593
喢	55A2
喤	55A4
喥	55A5
喺	55BA
嗋	55CB
嗙	55D9
嗬	55EC
嗹	55F9
嗺	55FA
嘬	562C
噦	5666
噭	566D
噷	5677
噼	567C
嚙	5699
嚟	569F
嚵	56B5
嚾	56BE
囥	56E5
囷	56F7
圝	571D
坉	5749
坱	5771
垞	579E
垤	57A4
垺	57BA
埽	57FD
塍	584D
塠	5860
墼	58BC
壠	58E0
夆	5906
奅	5945
奒	5952
奓	5953
妗	5997
姼	59FC
娗	5A17
婸	5A78
媌	5A8C
媠	5AA0
媱	5AB1
媸	5AB8
嫲	5AF2
嬭	5B2D
孲	5B72
尞	5C1E
屧	5C67
屻	5C7B
峎	5CCE
崠	5D20
嵬	5D6C
嶷	5DB7
庰	5EB0
廕	5ED5
弇	5F07
彔	5F54
彳	5F73
徛	5F9B
怐	6010
怹	6039
恅	6045
悾	60BE
悿	60BF
惝	60DD
愐	6110
愖	6116
慒	6152
憢	61A2
戥	6225
扐	6250
扚	625A
扡	6261
扲	6272
扴	6274
扷	6277
抅	6285
抌	628C
抐	6290
抺	62BA
抾	62BE
拁	62C1
拑	62D1
拵	62F5
拶	62F6
