0xC6A1	U+2460	U+F6B1	# CIRCLED DIGIT ONE
0xC6A2	U+2461	U+F6B2	# CIRCLED DIGIT TWO
0xC6A3	U+2462	U+F6B3	# CIRCLED DIGIT THREE
0xC6A4	U+2463	U+F6B4	# CIRCLED DIGIT FOUR
0xC6A5	U+2464	U+F6B5	# CIRCLED DIGIT FIVE
0xC6A6	U+2465	U+F6B6	# CIRCLED DIGIT SIX
0xC6A7	U+2466	U+F6B7	# CIRCLED DIGIT SEVEN
0xC6A8	U+2467	U+F6B8	# CIRCLED DIGIT EIGHT
0xC6A9	U+2468	U+F6B9	# CIRCLED DIGIT NINE
0xC6AA	U+2469	U+F6BA	# CIRCLED NUMBER TEN
0xC6AB	U+2474	U+F6BB	# PARENTHESIZED DIGIT ONE
0xC6AC	U+2475	U+F6BC	# PARENTHESIZED DIGIT TWO
0xC6AD	U+2476	U+F6BD	# PARENTHESIZED DIGIT THREE
0xC6AE	U+2477	U+F6BE	# PARENTHESIZED DIGIT FOUR
0xC6AF	U+2478	U+F6BF	# PARENTHESIZED DIGIT FIVE
0xC6B0	U+2479	U+F6C0	# PARENTHESIZED DIGIT SIX
0xC6B1	U+247A	U+F6C1	# PARENTHESIZED DIGIT SEVEN
0xC6B2	U+247B	U+F6C2	# PARENTHESIZED DIGIT EIGHT
0xC6B3	U+247C	U+F6C3	# PARENTHESIZED DIGIT NINE
0xC6B4	U+247D	U+F6C4	# PARENTHESIZED NUMBER TEN
0xC6B5	U+2170	U+F6C5	# SMALL ROMAN NUMERAL ONE
0xC6B6	U+2171	U+F6C6	# SMALL ROMAN NUMERAL TWO
0xC6B7	U+2172	U+F6C7	# SMALL ROMAN NUMERAL THREE
0xC6B8	U+2173	U+F6C8	# SMALL ROMAN NUMERAL FOUR
0xC6B9	U+2174	U+F6C9	# SMALL ROMAN NUMERAL FIVE
0xC6BA	U+2175	U+F6CA	# SMALL ROMAN NUMERAL SIX
0xC6BB	U+2176	U+F6CB	# SMALL ROMAN NUMERAL SEVEN
0xC6BC	U+2177	U+F6CC	# SMALL ROMAN NUMERAL EIGHT
0xC6BD	U+2178	U+F6CD	# SMALL ROMAN NUMERAL NINE
0xC6BE	U+2179	U+F6CE	# SMALL ROMAN NUMERAL TEN
0xC6BF	U+2F02	U+F6CF	# KANGXI RADICAL DOT
0xC6C0	U+2F03	U+F6D0	# KANGXI RADICAL SLASH
